aachen	a khen
phuntsholing	phun sô linh
piacenza	bi a chen gia
piaget	bi a giê
pibul	bi bun
picabia	bi ca bi a
picasso	bi ca xô
piccard	bi ca
pice	bai xờ
pichincha	bi chin cha
pickett	bích két
pieck	bích cơ
pierre	bi e
pietro	bi ét trô
pigou	bi gu
pikwe	bi quy
pilar	bi la
pilica	bi li xa
piltdown	bin đao
pincevent	bin xê vân
ping	binh
pinochet	bi nô chét
pirandello	bi ran đê lô
pirogov	bi rô gốp
pisa	bi sa
pisano	bi sa nô
pisarev	bi xa rép
piscator	bi xờ ca tô
pitkin	bít kin
pittsburgh	bít xờ bớt
pizarro	bi gia rô
planck	phờ lăng
planina	phờ la ni na
platon	bờ la tôn
platonov	phờ la tô nốp
platt	phờ lát
plekhanov	phờ lê kha nốp
plessner	phờ lét nơ
plinius	phờ li ni út
pliseckaja	phờ li xét xờ kai a
pljotcenz	phờ li ốt xen giơ
plotin	phờ lô tin
ploutarkhos	phờ lau ta khơ
pnyx	phờ ny
pock	bóc
podkamennaja	bốt ca men na gia
poe	bâu
pohnpei	bôn bây
point	boi
pointe	bon tờ
pokumpo	bô cum bô
polanyi	bô la ni
pollock	bô lốc
polonnaruwa	bô lôn na ru va
polybe	pô lu bi ốt
polykleitos	bô li cờ lây tốt
polymnie	bô lim ni
pompei	bom bay
pompeius	bom bây út
pompidou	bông bi đu
poncelet	bông xơ lét
pondichery	bông đi sê ri
poniatowski	bô ni a tốp xờ ki
pontoppidan	bon tô bi đan
pontrjagin	bôn tri a ghin
ponty	bông ty
popogue	bô bô gơ
popper	bốp bơ
port	bọt
portalis	bót ta lít
porter	bo tơ
portmore	bót mo
porto	bót tô
potjomkin	bốt giôm kin
pott	bót
pottier	bô chi ê
pound	bao đơ
poussin	bu san
poynting	bon tinh
pozharskij	bô giắc sờ ki
poznan	bô giơ nan
prachim	phờ rác him
prahova	phờ ra hô va
praia	phờ rai a
prajapati	phờ ra gia ba ti
prandtl	phờ răng
praphas	phờ ra phát
prat	phờ rát
pratolini	phờ ra tô li ni
predmost	bờ rét mót
pregl	phờ rét lơ
prelog	bờ rê lóc
preobrazhenskaja	phờ rê ô bờ ra gien xờ kai a
pressburg	bờ rét bớt
preston	bờ re xờ tơn
preto	phờ rê tu
pretoria	bờ rê tô ri a
pretorius	phờ rê tô ri út
prigogine	phờ ri gô gin
prince	phờ ring xơ
princeton	bờ rin xe tơn
prior	phờ rai ơ
prokhorov	phờ rô khô rốp
prokofev	phờ rô cô phép
prostakov	phờ rô xờ ta cốp
protagoras	phờ rô ta gô rát
proudhon	phờ ru đông
provence	phờ rô văng xơ
provins	bờ rồ vin
prudhomme	phờ ruy đom
pudovkin	bu đốp kin
puebla	bu ê bờ la
puerto	bu éc tô
puget	bu i gét
pulitzer	bu lít giơ
puniques	bu ních
punjab	bun giáp
purcell	bơ xen
pursat	buốc sát
pusan	bu san
pushkin	bu sờ kin
puys	bu i
pylos	bi lốt
pythie	bi ti
pythyos	bi ti ốt
queen	quyn
quentin	quyn tin
quincke	quin cơ
quintillianus	quyn ti li a nút
rabat	ra bát
rabelais	ra bi lây
racine	ra xin
radishchev	ra đi sép
raffaello	ra pha e lô
rajkov	rai cốp
rajzman	rai giơ man
rakhmaninov	rắc ma ni nốp
raman	ra man
ramapithecus	ra ma bi tha cớt
rameau	ra mô
ramos	ra mốt
rance	răng xơ
ranges	ren giơ
rangoon	ran gun
rarotonga	ra rô tôn ga
ras	rát
rastrelli	ra xờ tơ rê li
ratzel	rát xen
ratzenhofer	rát xen hô phơ
raun	ra on
rauschenberg	rau sen bớt
ravel	ra ven
ravi	ra vi
ray	rây
rayleigh	rây lây
raynaud	rây nô
raysse	rây xơ
razin	ra gin
reap	riếp
rebreanu	rê bờ rê a nu
red	rét
redi	re đi
redon	rơ đông
rehoboth	rê hô bốt
reichenbach	rây khen béch
reims	rem xờ
rembrandt	rem bờ ran
renard	ri nát
renault	rơ nô
renoir	rơ noa
repin	rê pin
resnais	rét sờ nây
revers	ri vơ
rhein	ran
rhodes	rốt
rhodesia	rô đê si a
riazan	ri a gian
rica	ri ca
ricardo	ri các đô
richard	ri chạc
richardson	ri chác sơn
richter	rít tơ
rickert	rích cớt
ricoeur	ri cơ
ridgway	rít quây
riemann	ri man
rieng	riêng
rif	ríp
riga	ri ga
righi	ri ghi
rijeka	ri giê ca
rijks	rích
rilke	rin cơ
rimbaud	rim bao
rio	ri ô
rioni	ri ô ni
ritter	rít tơ
rivas	ri vát
rivera	ri vê ra
roanne	rô an
robbe	róp
roberval	rô béc van
robin	rô bin
robinet	rô bi nét
robinson	rô bin xơn
robson	rốp sơn
rochester	rô che xờ tơ
rodbertus	rốt béc tuýt
rodchenko	rốt chen cô
rodin	rô din
rodolphe	rô đôn phơ
rodrigue	rô đờ ri gơ
roggeveen	rô ghê ven
roken	rô ken
rolland	rô lăng
romm	rôm mơ
rommel	rô men
ronsard	rông xa
roosevelt	ru dơ ven
rorschach	rô sắc
rosa	rô xa
roscellinus	rốt sen li nớt
roscher	rốt sơ
rose	rô dơ
rosenberg	rô sen bớt
rosenborg	rô xen bớt
rosenbusch	rô sen bu sơ
rosita	rô si ta
ross	rô xơ
rossellini	rô xê li ni
rossi	rốt si
rosso	rốt xô
rossolimo	rô mô li mô
rostand	rốt sờ tan
rostockij	rốt tốc ki
rostropovich	rốt trô bô vích
rothko	rốt cô
rotterdam	rô téc đam
rouault	rao ốt
rouen	ru ăng
rousseau	ru xô
roux	ru
roy	roi
rozov	rô giốp
rubens	ru ben
rubinstein	ru bin sờ tê in
rude	ruy đơ
rufisque	ruy phi xờ cơ
ruge	ru giơ
ruhengeri	ru hen ghê ri
rulfo	run phô
rumjancev	ru mi an xép
rundu	run đu
rusakov	ru sa kốp
rushd	ru sờ đơ
rushmore	rát sờ mo
russolo	ru sô lô
rustavi	rút ta vi
rutherford	ru thơ pho
rutland	rút len
ruysdael	ruy sờ đa ên
ryle	rai lơ
rytkheu	rít khiu
ryukyu	riu kiu
samurai	sa mu rai
sargon	sác gôn
schaeffer	sép phơ
schawlow	sao lô
scheele	sê lơ
scheler	se lơ
scherrer	se rơ
scheumann	sô u man
schiller	si lơ
schinkel	sin ken
schlegel	sờ lê ghen
schleicher	sờ lai sơ
schleiden	sờ lây đen
schleyer	sờ lây ơ
schliemann	sờ li man
schmoller	sờ môn lơ
schonberg	sôn bớt
schottky	sót ki
schrieffer	sờ ri phơ
schubert	su bớt
schumann	su man
schumpeter	sum bê tơ
schuster	su xờ tơ
schwab	sờ quáp
schwaben	sờ va ben
schwann	sờ van
schwarz	sờ vác
schwarzschild	sờ qua sờ chai ô
schwinger	xờ quynh gơ
segre	sê gờ rê
shadr	sa đờ rơ
shafran	sa phờ ran
shaftesbury	sép tơ xờ bơ ri
shah	sa
shakespeare	sếch xờ bi a
shakhmatov	sa khơ ma tốp
shannon	san nơn
shar	sa rơ
sharchops	sác hóp
shari	sa ri
sharp	sáp
shatt	sát
shaw	so
shchedrin	sê đờ rin
shebele	sê bê lê
sheffield	sép phiu
shelley	se li
shemjakin	sem gia kin
shepard	sê bác đơ
sheridan	se ri đân
shetland	sét len
shevchenko	xép chen cô
shi	si
shick	sít
shigefumi	si ghê phu mi
shikoku	si cô cu
shilka	sin ca
shio	si ô
shire	si rê
shiva	si va
shnitke	sờ nít ki
sholokhov	sô lô khốp
shopas	sô bát
shostakovich	sô xờ ta cô vích
shternberg	sờ tơn bớt
shubin	su bin
shukhov	su khốp
shukshin	sắc san
shwe	su ê
shwezigon	su ê gi gôn
shzcherba	séc ba
siemens	si men
slukhockij	sờ lu khốt xờ ki
spencer	sờ ben sơ
spengler	sờ ben lơ
spitsbergen	sờ bít béc gen
spohr	sờ bo rơ
stal	sờ tan
stark	sờ tác
staudinger	sờ tau đing ơ
steiner	sờ tai nơ
steinitz	sờ tai nít
stieglitz	sờ ti gờ lít
stieltjes	sờ tin ti ét
stinnes	sờ ti nét
stirner	sờ tiếc nơ
stuttgart	sờ tút gát
sun	sơn
szymanowski	si ma nốp xờ ki
tabinshweti	ta bin su ê ti
tabinsweti	ta bin xuê ti
tabor	ta bo rờ
tadjoura	tát giu ra
taganrog	ta gan rốc
tagar	ta ga
taglioni	ta li ô ni
tagore	ta go
tagpochau	ta bô chau
tahat	ta hát
tahiti	ta hi ti
taine	ten
taipa	tai ba
tajikistan	tát gi ki xờ tan
tajmyr	tai mưa
tajumulco	ta giu mun cô
takauji	ta cao gi
takizawa	ta ki gia qua
talet	ta lét
tallin	ta lin
tamara	ta ma ra
tamayo	ta may ô
tamm	tam
tammann	ta man
tampere	tam bê rê
tana	ta na
tanaka	ta na ca
taneev	ta nê ép
tanegashima	ta nê ga si ma
tanezrouft	ta nê giờ rúp
tanga	tan ga
tanganyika	tan ga ny ca
tange	tan ghê
tanger	tăng gơ
tanguy	tăng ghi
tanizaki	ta ni gia ki
tannenberg	tan nen bớt
tanzania	tan gia ni a
taohe	thao
tapti	táp ti
taraki	ta ra ki
taranto	ta ran tô
tarawa	ta ra oa
tardieu	tác đi ơ
tarfaya	tác phây a
tarim	ta rim
tartaglia	tác ta li a
tarutino	ta ru ti nô
tashan	ta san
tashkent	tát ken
tasman	ta xờ man
tasmanie	ta sờ ma ni
tassigny	ta si ni
tata	ta ta
tatar	ta ta rơ
tate	tây tơ
tatlin	tát lin
tatsumi	tát xư mi
taube	to bơ
taukum	tau cum
taut	tau lơ
taylor	tai lo
tbilisi	tờ bi li xi
tedjen	tét gien
teglath	tê gờ lát
tegucigalpa	tê gu xi gan ba
teheran	tê hê ran
tehuantepec	tê hu an tê béc
teilhard	tê la
tejo	tê giô
teke	tê kê
tel	theo
telesio	tê lê si ô
teller	theo lơ
tenji	ten gi
tennant	ten nan
tennessee	ten nét si
terek	tê rếch
terengganu	tê reng ga nu
terentius	tê ren ti út
termez	téc mét
terpsichore	téc xi so rơ
teruel	tê ru en
tethys	te tít
tetovo	tê tô vô
tevere	tê ve rê
texas	tếch giát
thales	ta lét
thant	tan
thar	tha
thatcher	thát chơ
thenard	tê na
thera	thê ra
thiers	thi ê
thomas	thô mát
thomson	thom xơn
thonburi	thon bu ri
thorez	tô rê
thorndike	thoan đắc
thoutmosi	thút mô si
thrace	thơ ra xờ
thucydide	tuy xi đít
thunerse	tu ne xơ
thutmose	thút mô giơ
tibesti	ti bê xờ ti
tibre	ti bờ rơ
tiffany	ti pha ny
tiffeneau	ti pha nô
tigrane	ti gờ ran
tigre	ti gờ rơ
tihama	ti ha ma
tikal	ti can
tiksi	tích xi
timmermans	tim méc man
timor	ti mo
timur	ti mua
tinbergen	tin béc ghen
tinian	ti ni an
tintin	tin tin
tirana	ti ra na
tirich	ti rích
tirreno	ti rê nô
tite	ti tơ
titien	ti tiên
tito	ti tô
toamasina	toa ma si na
toba	tô ba
todd	tót
todorov	tô đô rốp
togliatti	tô li át ti
tokelau	tô kê lau
tokmak	tốc mắc
tokunnaga	tô cun na ga
tol	tôn
tola	tô la
toland	tô len
toledo	tô li đô
tolstoj	tôn sờ tôi
tolstov	tôn xờ tốp
tombo	tôm bô
tomi	tô mi
tommaso	tô ma dô
tomonaga	tô mô na ga
tondini	tôn đi ni
tonga	tôn ga
tongatapu	tôn ga ta bu
tonle	tông lê
tordesillas	tót đê di lát
tordoki	tót đô ki
torino	tô ri nô
torngat	ton gát
toronto	tô ron tô
torquay	tô quây
torresmoling	to rê xờ mô linh
torricelli	tô ri che li
torun	tô run
toscana	tô xờ ca na
toubkal	túp can
toulon	tu lông
toulouse	tu lu giơ
toungoo	tun gu
tours	tua rơ
townes	tau nơ
toynbee	toi nơ bi
toyotomi	tô giô tô mi
trafalgar	tra phan ga
transvaal	tran sờ va an
travers	tơ ra vơ
trier	tri ơ
trieste	tơ ri e xờ tơ
trinil	tri nin
triolet	tri ô lét
trnka	trơn ca
trondheim	trôn hem
tropinin	tơ rô bi nin
trouin	trao in
trtu	tác tu
trubeckoj	tơ ru béc côi
truchsess	tru sét
truffaut	truy phô
trujillo	tru gi lô
truman	tơ ru man
tsui	tờ su i
tuamotu	tua mô tu
tuan	tu an
tuapse	tu áp sờ
tuareg	tua rết
tudor	tiu đo
tugan	tu gan
tulsidas	tun xi đát
tunguska	tun gu xờ ca
turan	tu ran
turgenev	tuốc ghê nép
turgot	tơ gót
turk	túc
turku	tua cu
turner	thân nơ
tussaud	tút xô
tuvy	tu vy
tuwim	tu quym
tuxa	tu xa
tuz	tu giơ
tuzla	tu giơ la
twain	tu ên
twenhofel	tô en hô phen
tylor	tai lơ
tzara	tơ gia ra
ucayali	u ca da li
uccello	u chê lô
udon	u đông
udonthani	u đon tha ni
udval	út van
uelen	u ê len
ufa	u pha
ugalla	u ga la
uganda	u gan đa
ugarit	u ga rít
ujung	u giung
ulaanbaatar	diu lan ba tơ
ulanova	u la nô va
ulbricht	un bờ rích
uldall	un đan
uleaborg	u lê a bót
ulpianus	un bi a nút
ulysse	uy li xơ
umbell	um beo
umberto	um bét tô
umm	um
unamuno	u na mu nô
undset	un sét
upolu	u bô lu
uppsala	úp sa la
uranie	u ra ni
urartu	u ra tu
urbain	úc ben
urbino	uốc bi nô
urey	u ri
urmija	ua mi gia
urubamba	u ru bam ba
uruguay	u ru quay
uruk	u rúc
urwick	uốc vích
ushakov	u sa cốp
utamaro	u ta ma rô
utopia	u tô bi a
utta	út ta
utuy	u tuy
utzon	út giôn
uusimaa	u xi ma
uzbek	u giơ bếch
uznadze	u giơ nát giơ
vaasa	va xa
vaduz	va đút
vah	vác
vajrabodhi	vai ra bô đi
valdaj	van đai
valencia	va len xi a
valenciennes	va lăng xiên
valens	va len
valery	va lê ry
valira	va li ra
vallin	va lin
vallon	va lông
valluy	va luy
vancouver	van cu vơ
vandermonde	van đơ mông
vantongerloo	van tô géc lô
vanua	va nu a
vardar	va đa
vargas	va gát
varna	vác na
vasari	va sa ri
vat	vát
vatican	va ti căng
vaticanus	va ti ca nút
vatthana	vát tha na
vauban	vô băng
vavilov	va vi lốp
veblen	vê bờ len
veen	vê en
vega	vê ga
veigert	vây ghéc
velazquez	vê la xờ kết
venezia	vê nê gi a
venezuela	vê nê giu ê la
venise	vê nai giơ
ventris	ven trít
venus	vê nớt
vercors	véc co
verdi	véc đi
verdun	vơ đan
verga	véc ga
vergilius	véc gi li út
verhaecht	vê cha ét
verhaeren	vơ hây rơn
verhojan	véc khô i an
verlaine	véc len
vermeer	véc me
vernadskij	véc nát xờ ki
verne	véc nơ
verrocchio	vê rô ki ô
versailles	véc xây
vertov	véc tốp
vesalius	vê sa li út
vesuvio	vê su vi ô
vianden	vi an đen
viborg	vi bót
vico	vi cô
victoria	vích to ri a
vicvakarma	vích va các ma
vidal	vi đan
vidor	vi đo
vignola	víc nô la
vigny	vin ni
vigo	vi gô
vijaya	vi gia da
viktor	vích to
vilar	vi la
vilhelm	vin hem
viljuj	vi liu
villager	vi la giơ
villari	vi la ri
villeneuve	vi la nu vơ
vilnius	vin ni út
vincent	vin xen
vinci	vin xi
vindhyadal	vin đờ da đan
vindobon	vin đô bôn
vinet	vi nê
vinogradov	vi nô ra đốp
vinson	vin xơn
virchow	vi a khốp
virgile	viếc gin
virgin	vơ gin
virginia	vơ gin ni a
virtanen	vi a ta nen
visby	vít bai
visconti	vít sờ con ti
vishnevskij	vi sờ nép xờ ki
visvakarman	vít va các man
vitebsk	vi tép xờ cơ
viteriano	vi tê ri a nô
viti	vi ti
vitim	vi tim
vitrac	vi tơ rác
vitruve	vi tru vơ
vittorini	vít tô ri ni
vittorio	vít tô ri ô
vivaldi	vi van đi
vivin	vi vin
vizcaya	vi giờ cay a
vladimir	vờ la đi mia
vladivostok	vờ la đi vốt sờ tốc
vlaminsk	va la min
vodkin	vốt kin
vogt	vốt
volga	vôn ga
volgograd	vôn gô gờ rát
volta	vôn ta
voltaic	vôn ta ích
volterra	von te ra
von	von
vondel	vôn đen
vongsa	vông xa
voroshilov	vô rô si lốp
vosges	vô giơ
voznesenija	vô giờ nê xê ni a
voznesenskij	vô giờ nê sen xờ ki
vozrojdenia	vô giờ rô giơ đê ni a
vttern	vét tân
vulcano	vun ca nô
vygotskij	vư gốt xờ ki
xerxes	xéc xê
xieng	xiêng
xubata	xu ba ta
yale	den
yamamoto	da ma mô tô
yamazaki	da ma gia ki
yamoussoukro	da mao sờ cờ rô
yao	dao
yap	dáp
yaren	da ren
yarkant	dắc can
yatenga	da ten ga
yersin	dẹc xin
yezo	dê giô
yoknapatawpha	dốc na pa tao pha
yokosuca	dô cô su ca
york	dót
yoruba	dô ru ba
yosa	dô sa
yosida	dô si đa
young	dâng
yukon	du cơn
zadeh	gia đê
zagreb	gia gờ rép
zagros	gia gờ rốt
zahir	gia hi a
zahlah	gia la
zakharov	gia kha rốp
zakopane	gia cô ben
zambezi	giăm bê gi
zamenhof	gia men hốp
zanzibar	gian gi ba
zaporozhe	gia bô rô giê
zaranj	gia ra ni
zarathustra	gia ra thút sờ tra
zarkhi	giắc khi
zavadovskij	gia va đốp xờ ki
zavattini	gia vát ti ni
zavojskij	gia voi sờ ki
zaydn	giây đờ
zazzo	gia giô
zeeman	giê man
zeiller	giên lơ
zeja	giây a
zelenin	giê lê nin
zelinskij	gien lin xờ ki
zenica	gie ni ca
zeravshan	giê ráp san
zeromski	giê rôm xờ ki
zetkin	giét kin
zeus	giớt
zibe	gi bê
ziguinchor	gi ghin chơ
zimbabwe	gim ba bu ê
zinin	gi nin
zjulen	gi u len
zola	giô la
zomba	giôm ba
zrich	giuy rích
zuiderzee	giui đơ gi
