a'ishah	அ'யிஷா
inverness	இன்வெர்னஸ்
invincible	இன்வின்சிபிள்
iona	ஐஓனா
ionian	ஐயோனியன்
iowa	அயோவா
iphigenia	இபிஜீனியா
iphigenie	இபிஜீனி
ipsa	இப்ஸா
ipsita	இப்ஸிதா
iqbal qasim	இக்பால் காஸிம்
iqbal sikander	இக்பால் சிக்கந்தர்
iqraar	இக்ரார்
iraada	இராடா
iran ki ek raat	இரான் கி ஏக் ராத்
iranian	இரானியன்
iraq	ஈராக்
irawati	இராவத்தி
ireland	அயர்லேண்ட்
irfan	இர்ஃபான்
irfan bhatti	இர்ஃபான் பாட்டீ
iria	இரியா
irma	இர்மா
iron	ஐயர்ன்
irvine shillingford	இர்வைன் ஷில்லிங்ஃபோர்ட்
irving	இர்விங்
is paar ya us paar	இஸ் பார் யா உஸ் பார்
isa	இசா
isabelle	இசாபெல்
isadora	இசாதோரா
isaura	ஐசவ்ரா
ishaar	இஷார்
ishan	இஷான்
ishita	ஐஷிதா
ishtiyaq	இஷ்தியாக்
ishwar allah tere naam	ஈஷ்வர் அல்லா தேரே நாம்
isi ka naam duniya hai	இசி கா நாம் துனியா ஹை
isma'il	இஸ்மெயில்
ismah	இஸ்மா
istabraq	இஸ்தாபிராக்
istakhri	இஸ்தாக்ரி
isuzu motors	ஐசூஸு மோட்டார்ஸ்
itihaas	இதிஹாஸ்
itimad	இட்டிமாத்
ito yokado	ஐடோ யோகாடா
ittefaq	இட்டஃபக்
ituran location and control	இதுரான் லோக்கேஷன் அண்ட் கன்டிரோல்
ivanhoe energy	இவன்ஹோ எனர்ஜி
ivie	ஐவி
ivo	ஐவோ
ivory	ஐவரி
ivory coast	ஐவரி கோஸ்ட்
ivvavik	இவ்வாவிக்
iwami	இவாமி
iyaas	ஐயாஸ்
iyailu	இயாய்லு
izhar	இஸ்ஸார்
izzat aabroo	இஸ்ஸாத் ஆப்ரூ
j. franklin bell	ஜெ. ஃப்பிரான்க்லின் பெல்
jaag utha insaan	ஜாக் உதா இன்சான்
jaal	ஜால்
jaali note	ஜாலி நோட்
jaamdar	ஜாம்தர்
jaan	ஜான்
jaan hatheli pe	ஜான் ஹதேலி பே
jaan-e-bahaar	ஜான்-ஏ-பஹார்
jaanejaan	ஜானேஜான்
jaani dost	ஜானி தோஸ்த்
jaavdekar	ஜாவ்தேகர்
jaayen to jaayen kahan	ஜாயேன் தோ ஜாயேன் கஹான்
jab andhera hota hai	ஜப் அந்தேரா ஹோதா ஹை
jab se tumhe dekha hai	ஜப் சே தும்ஹே தேகா ஹை
jab yaad kisi ki aati hai	ஜப் யாத் கிசி கி ஆதி ஹை
jabalpur	ஜபல்பூர்
jabir	ஜபீர்
jacinda	ஜெசிந்தா
jack benny	ஜாக் பென்னி
jack heron	ஜேக் ஹெரோன்
jack richards	ஜாக் ரிச்சர்ட்ஸ்
jackie	ஜாக்கி
jaclyn elders	ஜாக்லின் எல்டர்ஸ்
jacob van heemskerck	ஜேக்கப் வான் ஹீம்ஸ்கெர்க்
jacob's well	ஜேகப்ஸ் வெல்
jacques	ஜாக்ஸ்
jacques kallis	ஜாக்ஸ் காலிஸ்
jacques rudolph	ஜாக்ஸ் ருடால்ஃப்
jadhav	ஜாதவ்
jadu	ஜாடு
jadu mahal	ஜாடு மஹல்
jadugar	ஜாடுகர்
jadui angoothi	ஜாடுய் அங்கூதி
jadui bansari	ஜாடுய் பன்சாரி
jadui chitra	ஜாடுய் சித்ரா
jaeger	ஜேகர்
jafar	ஜாஃபர்
jaffar	ஜாஃப்பர்
jagadamba	ஜகதாம்பா
jagadanbaa	ஜகதான்பா
jagadeep	ஜகதீப்
jagadhidh	ஜகதீத்
jagadish	ஜகதீஷ்
jagajeet	ஜகாஜீத்
jagannath	ஜகநாத்
jagannath puri	ஜகன்நாத் புரி
jagat mohini	ஜகத் மோகினி
jagdeep	ஜகதீப்
jagesh	ஜகேஷ்
jagger	ஜாகர்
jagtap	ஜக்தப்
jagte raho	ஜக்தே ராஹோ
jahanara	ஜஹனாரா
jahangir alam talukdar	ஜஹாங்கிர் அலாம் டாலுக்டர்
jahangir shah	ஜஹாங்கிர் ஷா
jaheel	ஜஹீல்
jahm	ஜம்
jahroda	ஜாரோடா
jahura	ஜாஹூரா
jai ambe maa	ஜெய் ஆம்பே மா
jai ho mohabbat ki	ஜெய் ஹோ மொஹபத் கி
jai jawan jai kisan	ஜெய் ஜவான் ஜெய் கிஸான்
jai karoli maa	ஜெய் கரோலி மா
jai mahalaxmi	ஜெய் மகாலக்ஷ்மி
jai prakash yadav	ஜெய் பிரகாஷ் யாதங்
jaichand	ஜெய்சந்த்
jaigopal	ஜெய்கோபால்
jaikrishna	ஜெய்கிருஷ்ணா
jainarayan	ஜெய்நாராயண்
jaiprakash asso	ஜெய்பிரகாஷ் அசோ
jaipur	ஜெய்பூர்
jaipur fort	ஜெய்பூர் ஃபோர்ட்
jairaj	ஜெய்ராஜ்
jaisal	ஜேய்சல்
jaisalmer fort	ஜைஸால்மெர் ஃபோர்ட்
jaishankar	ஜெய்சங்கர்
jaisi karni waisi bharni	ஜெய்சி கர்னி வைசி பர்னி
jaisudha	ஜெய்சுதா
jaisukh	ஜெய்சுக்
jaiwant	ஜெய்வந்த்
jaiye	ஜாயெ
jajj	ஜாஜ்
jajpur	ஜஜ்பூர்
jakadia	ஜகாடியா
jakarta	ஜக்கார்ட்டா
jal bin machali	ஜல் பின் மச்சாலி
jalabala	ஜலபாலா
jalaja	ஜலஜா
jalal	ஜலால்
jalal al-din rumi	ஜலால் அல்-தின் ருமி
jalan	ஜலன்
jalaun	ஜலவுன்
jaleel	ஜலீல்
jalgaon	ஜல்காவூன்
jalia	ஜாலியா
jalianwala bagh	ஜாலியன்வாலா பாக்
jalianwala bagh ki jyoti	ஜாலியன்வாலா பாக் கி ஜோதி
jalsa	ஜல்சா
jalwa	ஜால்வா
jamai raja	ஜமாய் ராஜா
jamal	ஜமால்
jambhekar	ஜம்பேகர்
james	ஜேம்ஸ்
james brown	ஜேம்ஸ் பிரவுன்
james cagney	ஜேம்ஸ் கேக்னி
james cook university	ஜேம்ஸ் குக் யூனிவர்சிட்டி
james foster	ஜேம்ஸ் ஃப்பாஸ்டர்
james franklin	ஜேம்ஸ் ஃப்பிரான்க்லின்
james hopes	ஜேம்ஸ் ஹோப்ஸ்
james kamande	ஜேம்ஸ் காமான்டெ
jamie dalrymple	ஜாமி டால்ரிம்பிள்
jamini	ஜாமினி
jamnagar	ஜம்நகர்
jamshedpur	ஜம்ஷெத்பூர்
jamui	ஜமூய்
jamuna	ஜமுனா
janak	ஜனக்
janaki	ஜானகி
janambhumi	ஜனம்பூமி
janan	ஜேனன்
janani	ஜனனி
janardan	ஜனார்தன்
janardan thakur	ஜனார்தன் தாகுர்
jane	ஜேன்
jane bhi do yaaron	ஜானே பி தோ யாரோன்
janelle	ஜனேல்
janet rino	ஜானட் ரினோ
jangle	ஜங்லே
janhavi	ஜானவி
jania	ஜனியா
janine	ஜனைன்
jannah	ஜன்னா
jansatta	ஜான்சாட்டா
jantar	ஜந்தர்
janyu	ஜன்யு
japan	ஜப்பான்
japan tobacco	ஜப்பான் டோபாக்கோ
japendra	ஜபேந்திரா
japesh	ஜபேஷ்
japinder	ஜபிந்தர்
jaraah	ஜரா
jarabe	ஜாராப்
jareer	ஜரீர்
jariyah	ஜரியா
jarvis	ஜார்விஸ்
jasavant	ஜஸவந்த்
jashn	ஜாஷ்ன்
jasmin	ஜாஸ்மின்
jasminder	ஜஸ்மிந்தர்
jason	ஜேஸன்
jaspal	ஜஸ்பால்
jasrah	ஜஸ்ரா
jassal	ஜஸ்ஸல்
jasveer	ஜஸ்வீர்
jasvinder	ஜஸ்விந்தர்
jaswant	ஜஸ்வந்த்
jataa shankaree	ஜடா ஷங்கரி
jatan	ஜதன்
jathhar	ஜத்ஹர்
jatin	ஜதின்
jaunie	ஜானி
jaunpur	ஜவுன்புர்
jaureguiberry	ஜவ்ரேகுபெர்ரி
jawab	ஜவாப்
jawahar	ஜவஹர்
jawan mard	ஜவான் மர்த்
jawani diwani	ஜவானி திவானி
jawani ke gunah	ஜவானி கே குணா
jawani ki kahani	ஜவானி கி கஹானி
jawani ki lehren	ஜவானி கி லெய்ரென்
jawani solah saal ki	ஜவானி சோலாஹ் சால் கி
jawara	ஜவாரா
jawdan	ஜவதான்
jawhar	ஜவஹர்
jawharah	ஜவாரா
jayaditya	ஜெயதித்யா
jayalakshmi	ஜெயலக்ஷ்மி
jayalalita	ஜெயலலிதா
jayamala	ஜெயமாலா
jayanta	ஜெயந்தா
jayashekhar	ஜெயசேகர்
jayasinh	ஜெயசிங்
jayati	ஜெயதி
jaydeep	ஜெய்தீப்
jayendra	ஜெயேந்திரா
jayeshvar	ஜெயேஷ்வர்
jayprada	ஜெய்பிரதா
jazbaat	ஜஸ்பாத்
jazlynn	ஜாஸ்லின்
jeanine	ஜீனைன்
jeanne	ஜீனீ
jeene do	ஜீனே தோ
jeene ki raah	ஜீனே கி ராஹ்
jeet	ஜீத்
jeet hamari	ஜீத் ஹமாரி
jeete hain shan se	ஜீதே ஹெயின் ஷான் சே
jeeval	ஜீவல்
jeevan ek sanghursh	ஜீவன் ஏக் சங்கர்ஷ்
jeevan mrityu	ஜீவன் மிருத்யு
jeevan naiya	ஜீவன் நயா
jeevan prabhat	ஜீவன் பிரபாத்
jeevan sangram	ஜீவன் சங்ராம்
jeevana	ஜீவனா
jeevanlata	ஜீவன்லதா
jeff	ஜெஃப்
jeff bridges	ஜெஃப் பிரிட்ஜஸ்
jefferson	ஜெஃபர்சன்
jeffery	ஜெஃப்ரீ
jeffrey	ஜெஃப்ரி
jemma	ஜெம்மா
jen	ஜேன்
jennica	ஜெனிகா
jennifer	ஜெனிஃபர்
jera	ஜேரா
jerauld	ஜெரால்ட்
jeremy	ஜெரிமி
jerom	ஜெரோம்
jerrell	ஜெரெல்
jerry	ஜெர்ரி
jerusalem	ஜெருஸலம்
jesimae	ஜெஸிமே
jeslyn	ஜெஸ்லின்
jet airways	ஜெட் ஏர்வேஸ்
jet-skiing	ஜெட்-ஸ்கையிங்
jethani	ஜெதானி
jewel	ஜுவல்
jewell	ஜுவல்
jhabal	ஜாபால்
jhabbar	ஜாப்பர்
jhade	ஜாதே
jhalak	ஜாலக்
jhambaari	ஜாம்பாரி
jhamela	ஜமேலா
jhanjhar	ஜஞ்சார்
jhansiwale	ஜான்ஸிவாலே
jheel ke us paar	ஜீல் கே உஸ் பார்
jhelum	ஜீலம்
jhikka	ஜிக்கா
jhinuk	ஜீனக்
jhitaruraam	ஜிதாருராம்
jhoom utha akaash	ஜூம் உதா ஆகாஷ்
jhootha sach	ஜூதா சச்
jhoothi	ஜூதி
jhunjhunu	ஜுஞ்ஜுனு
jhutti	ஜுட்டி
ji chahta hai	ஜி சாஹ்தா ஹை
jibran	ஜிப்ரான்
jibril	ஜிப்ரில்
jigri dost	ஜிக்ரி தோஸ்த்
jigya	ஜிக்யா
jigyasa	ஜிக்யாஸா
jihad	ஜிஹாத்
jihan	ஜிஹான்
jill	ஜில்
jim carter	ஜிம் கார்டர்
jim morrison	ஜிம் மாரிசன்
jimbo	ஜிம்போ
jimmy cook	ஜிம்மி குக்
jimmy hendricks	ஜிம்மி ஹென்ரிக்ஸ்
jimut	ஜிமுத்
jimuta	ஜிமுதா
jin mao building	ஜின் மாவோ பில்டிங்
jinda	ஜிந்தா
jindal	ஜிண்டால்
jinendra	ஜினேந்திரா
jingo	ஜிங்கோ
jinta	ஜின்டா
jism ka rishtaa	ஜிஸம் கா ரிஷ்டா
jiten_dr	ஜிதேந்தர்
jitmanyu	ஜித்மான்யு
jitterbug	ஜிட்டர்பக்
jivan	ஜீவன்
jivana	ஜீவனா
jivin	ஜிவின்
jivitesh	ஜிவிதேஷ்
jiyo aur jeene do	ஜியோ ஔர் ஜீனே தோ
jiyo to aise jiyo	ஜியோ தோ அய்சே ஜியோ
jnanpith	ஞான்பீட்
jnyaneshwar	ஞானேஸ்வர்
jo angel	ஜோ ஏஞ்சல்
jo huwa so bhool ja	ஜோ ஹுவா சோ பூல் ஜா
joan baze	ஜோன் பேஸ்
joann	ஜோன்
joanna	ஜோன்னா
joanne	ஜோன்னி
jodidar	ஜோதிதர்
jody	ஜோடி
joel	ஜோயல்
joey benjamin	ஜோயி பெஞ்சமின்
jogan	ஜோகன்
jogging	ஜாக்கிங்
jogindra	ஜோகிந்த்ரா
joglekar	ஜோக்லேகர்
johan straus batch	ஜோஹன் ஸ்ட்ராஸ் பேட்ச்
johannesburg	ஜோவன்னஸ்பர்க்
johar in kashmir	ஜோஹர் இன் காஷ்மிர்
johar mehmood in hong kong	ஜோஹர் மெய்மூத் இன் ஹாங்காங்
johar-e-shamsheer	ஜோஹர்-ஏ-ஷம்ஷீர்
johari	ஜோஹரி
john aubuchon freedom	ஜான் ஆபுச்சோன் ஃப்ரீடம்
john bracewell	ஜான் பிரேஸ்வெல்
john crawley	ஜான் கிராலே
john emburey	ஜான் எம்புரே
john f. kennedy	ஜான் எஃப். கென்னடி
john grisham	ஜான் க்ரிஷாம்
john hampshire	ஜான் ஹாம்ப்ஷைர்
john hancock center	ஜான் ஹன்காக் சென்டர்
john jameson	ஜான் ஜேம்ஸன்
john lanen	ஜான் லேனன்
john lever	ஜான் லேவர்
john milton	ஜான் மில்டன்
john muir	ஜான் முயர்
john reid	ஜான் ரேய்ட்
john tash	ஜான் டாஷ்
john the baptist	ஜான் தி பாப்டிஸ்ட்
john travolta	ஜான் ட்ரொவோல்டா
johnavon	ஜானேவன்
johnson controls	ஜான்ஸன் கன்டிரோல்ஸ்
johny mera naam	ஜானி மேரா நாம்
joie	ஜோயி
joker	ஜோக்கர்
jolene	ஜோலீன்
jolie	ஜோலி
jon lewis	ஜன் லீவிஸ்
jonathan	ஜோனதன்
jordane	ஜோர்டன்
jorhat	ஜோர்ஹத்
jorjanna	ஜோர்ஜன்னா
joseph campbell	ஜோசப் கேம்பெல்
joseph stalin	ஜோசப் ஸ்டாலின்
joseph t. dickman	ஜோசப் டி. டிக்மேன்
joshi	ஜோஷி
joshila	ஜோஷிலா
jota	ஜோடா
joul	ஜெளல்
jovita	ஜோவிதா
joy	ஜாய்
joylyn	ஜாய்லின்
judaism	ஜூடாயிஸம்
judamnah	ஜுதாம்னா
judd	ஜுட்
judson	ஜூட்ஸன்
jugnu	ஜுக்னு
julakka	ஜுலாக்கா
julia roberts	ஜூலியா ராபர்ட்ஸ்
julien wiener	ஜூலியன் வியனெர்
juliet	ஜூலியட்
julinka	ஜூலிங்கா
julius	ஜூலியஸ்
july	ஜூலை
juma'	ஜுமா
jumanah	ஜுமனா
jumaymah	ஜுமாய்மா
jump rope	ஜம்ப் ரோப்
junayd	ஜுனியாத்
june	ஜூன்
jungle king	ஜங்கிள் கிங்
jungle love	ஜங்கிள் லவ்
junglee	ஜங்லீ
junior	ஜூனியர்
junoon	ஜுனூன்
junyo	ஜுன்யோ
jupiter	ஜூப்பிட்டர்
jupiter bio	ஜுபிடர் பயோ\
jura	ஜூரா
jurrat	ஜுர்ரத்
justice chibhabha	ஜஸ்டிஸ் சிபாபா
justin langer	ஜஸ்டின் லாங்கெர்
justise	ஜஸ்டிஸ்
justus	ஜஸ்டஸ்
juthamah	ஜுதாமா
jwaharlal nehru university india	ஜவஹர்லால் நேரு யூனிவர்சிட்டி இந்தியா
jwala	ஜ்வாலா
jwala daku	ஜ்வாலா தாக்கு
jwalamukhi	ஜ்வாலமுகி
jwar bhata	ஜ்வார் பாதா
jyoti bane jwala	ஜோதி பனே ஜ்வாலா
jyotsna	ஜோத்ஸ்னா
kaafila	காஃபிலா
kaalahar	காலாஹர்
kaalaj	காலாஜ்
kaalaraatri	காலராத்ரி
kaaleecharan	காலீசாரன்
kaalkunja	கால்குஞ்ஜா
kaamanaa	காமானா
kaamchor	காம்சோர்
kaamna	காம்னா
kaanade	கானதே
kaanchanee	கான்சனீ
kaaran	காரன்
kabhi ajnabi the	கபி அஜ்னபி தே
kabil	கபில்
kabrastan	கப்ரஸ்தான்
kabul	காபுல்
kabuliwala	கபுலிவாலா
kabzaa	கப்சா
kachche dhaage	கச்சே தாகே
kachchi kali	கச்சி காளி
kacy	கேசி
kaden	காடென்
kaduthuruthi	காடுதுருத்தி
kael	காயேல்
kaelem	காய்லெம்
kaethe	கேய்தி
kafan	கஃபன்
kafila	கஃபிலா
kahani hum sab ki	கஹானி ஹம் சாப் கி
kahani kismat ki	கஹானி கிஸ்மத் கி
kahin aar kahin paar	கஹின் ஆர் கஹின் பார்
kahma	காஹ்மா
kahnuwal	காஹ்னுவால்
kail	கைல்
kaila	கைலா
kailaash	கைலாஷ்
kailashnath	கைலாஷ்னாத்
kailashpati	கைலாஷ்பதி
kainji dam	கைன்ஜி டேம்
kairos	கைரோஸ்
kaise kahoon	கைசே கஹூன்
kaiser	கைஸர்
kaiser friedrich iii.	கைஸர் ஃபிரைட்ரிச் III.
kaitlyn	கேட்லின்
kajal	காஜல்
kajal sharma	காஜல் ஷர்மா
kajji	கஜ்ஜி
kajwadkar	கஜ்வாத்கர்
kaka	காகா
kakirde	ககிர்தே
kal aaj aur kal	கல் ஆஜ் ஔர் கல்
kal hamara hai	கல் ஹமாரா ஹை
kala chashma	கலா சாஷ்மா
kala pani	கலா பாணி
kalaa	கலா
kalabaaz	கலாபாஸ்
kalahandi	கலாஜான்டி
kalakaar	கலாகார்
kalanki	கலன்கி
kalare	காலாரே
kale	கலே
kalea	காலியா
kalelkar	கலேகர்
kali	காலி
kali basti	காளி பஸ்தி
kali ghata	காளி காதா
kali raat	காளி ராத்
kalidas	காலிதாஸ்
kalikambal	காளிகாம்பாள்
kalindi	கலிந்தி
kalinjar	கலிங்கார்
kalipada	காலிபடா
kalirai	கலிரை
kaliranjan	காலிரஞ்சன்
kaliya	காளியா
kaliyan	கலியாண்
kalkin	கல்கின்
kallol	கல்லோல்
kalona	காலோனா
kalpana	கல்பனா
kalra	கல்ரா
kaltham	கல்தம்
kalyani	கல்யானி
kalyca	காலிகா
kalyug	கல்யுக்
kamajit	காமாஜித்
kamakshi	காமாக்க்ஷி
kamakshi amman	காமாட்சி அம்மன்
kamal	காமால்
kamala	கமலா
kamalaj	காமாலாஜ்
kamalakar	கமலாகார்
kamalapati	கமலாபதி
kamalesh	கமலேஷ்
kamalika	கமலிகா
kamalkali	காமால்காலி
kamella	காமெல்லா
kameng	காமெங்
kamilah	கமிலா
kamini	காமினி
kamla	கம்லா
kamla ki maut	கம்லா கி மௌத்
kamlesh	கம்லேஷ்
kamrup	காம்ரப்
kamyab	கம்யாப்
kan_haiyaalaal	கன்ஹையாலால்
kanadi	கன்னடி
kanak	கனக்
kananbala	கானான்பாலா
kanch aur heera	கன்ச் ஔர் ஹீரா
kanchan	காஞ்சன்
kanchanaa	கான்சனா
kanchi	காஞ்சி
kandhari	கன்தாரி
kane	கேன்
kaneez	கனீஸ்
kanetkar	கனேத்கர்
kang	காங்
kangada	கங்காடா
kangan	கன்கன்
kanhaiyalal	கன்ஹையால்
kanhere	கன்ஹரே
kanika	கனிகா
kanker	கன்கர்
kankukus	கன்குகுஸ்
kannamangai	கண்ணமங்கை
kannanur	கன்னனூர்
kanoon aur mujrim	கானூன் ஔர் முஜ்ரிம்
kanoon ki awaaz	கானூன் கி ஆவாஸ்
kansas	கன்ஸாஸ்
kantele	கன்டிலி
kanti	கான்தி
kanun	கனூன்
kanvalajeetasinh	கன்வலாஜீதாசின்ஹ்
kanvalasinh	கன்வலாசின்ஹ்
kanvar	கான்வர்
kanwal	கான்வல்
kanwalkishore	கான்வல்கிஷோர்
kanwarlal	கன்வர்லால்
kanz	கான்ஸ்
kanzah	கான்ஸா
kapani	கபானி
kapde	காப்தே
kapee^dr	கபீத்ர்
kapila	கபில்லா
kapindra	கபீன்தர்
kapoor	கபூர்
kar bhala	கர் பாலா
karah	காரா
karambelkar	கரம்பெல்கர்
karamgati	கரம்கடி
karan	கரன்
karate	கராத்தே
kardawiyah	கார்டவியா
kargam	கர்காம்
kariakoil	காரிகோயில்
kariba dam	கரிபா டேம்
karik	காரிக்
karis	காரீஸ்
karishma kudrat ka	கரிஷ்மா குத்ரத் கா
karkhanis	கர்கானிஸ்
karli	கார்லி
karlsborg fortress	கார்ல்ஸ்போர்க் ஃப்போர்ட்ரெஸ்
karm	கர்ம்
karm veer	கர்ம வீர்
karn	கார்ன்
karnama	கர்நமா
karnataka	கர்நாடகா
karnawati	கர்னாவதி
karnik	கார்னிக்
karoo	காரூ
karorepati	கரோர்பதி
karouli	கரவ்ளி
karpe	கார்பே
karsan ghavri	கர்ஸன் காவ்ரி
karsen	கார்ஸன்
kartar	கார்டர்
kartik	கார்டிக்
karuna	கருணா
karunamay	கருணாமாய்
karunamayi	கருணாமாயி
karunashankar	கருணாஷங்கர்
kasal	கசல்
kasam dhande ki	கசம் தண்டே கி
kashelikar	கஷெலிகர்
kashif raza	கஷீஃப் ராஸா
kashima	காஷிமா
kashinath	காஷினாத்
kashish	காசிஷ்
kashmakash	கஷ்மகஷ்
kashmir post	காஷ்மிர் போஸ்ட்
kashmira	காஷ்மிரா
kashyap	காஷியாப்
kasib	காஸிப்
kassidy	காஸ்ஸிடி
kasteel	காஸ்டீல்
kat	கேட்
katadare	கததாரே
katelin	கேட்லின்
katelynn	கேட்லின்
kathajuri	கதஜூரி
kathak	கதக்
kathakali	கதக்கலி
katharine	கேத்தரீன்
katherine	கேத்தரீன்
kathie	காத்தீ
kathirah	கதிரா
kathleen	கேத்லீன்
kathmandu	காத்மண்டு
kathpal	காத்பால்
kathputli	கத்புத்லி
kathryn	கேத்ரீன்
katie	கேட்டி
katihar	கடிஹார்
katilon ka katil	கதிலோன் கா கதில்
katni	கட்னி
kato	கேட்டோ
katrina	கேட்ரினா
katyal	காட்யால்
kaukab	கோகப்
kaumudhi	கவ்முதி
kaun apana kaun paraya	கோன் அபானா கோன் பராயா
kaun hai woh	கோன் ஹை வோ
kaun saccha kaun jhootha	கோன் சாச்சா கோன் ஜூதா
kaun? kaisey?	கோன்? கெய்சே?
kaushal lokuarachchi	கௌஷல் லொக்குவாராச்சி
kaushalya	கௌஷல்யா
kaushambi	கெளஷாம்பி
kaushik	கெளஷிக்
kaustav	கெளஸ்தவ்
kaustubh	கெளஸ்துப்
kautilya	கௌடில்யா
kaveri	காவேரி
kaviraj	கவிராஜ்
kavishwar	கவிஷ்வார்
kavita	கவிதா
kavthekar	கவ்தேகர்
kawabata yasunari prize	கவபாட்டா யாசுனாரி ப்ரைஸ்
kawthar	கவ்தார்
kaya palat	கயா பலட்
kayleen	கேய்லீன்
kayo	கயோ
kaysah	கேஸா
kazantzakis museum	கஸான்ட்ஸாகிஸ் மியூஸியம்
kaziranga	காஜிரங்கா
kddi	கட்டி
kedar	கேதார்
keefe	கீஃப்
keegan	கீகன்
keeling	கீலிங்
keely	கீலி
keemat	கீமத்
keena	கீணா
keer	கீர்
keeratpur	கீரத்பூர்
keerthi ranasinghe	கீர்த்தி ரனசிங்கே
kef al kaous	கெப் அல் காவோஸ்
keira	கேய்ரா
keith	கேய்த்
keith arthurton	கீத் ஆர்தர்டன்
keith dabengwa	கீத் டபேங்க்வா
keitha	கேய்தா
kejimkujik	கெஜிம்குஜிக்
kekare	கேகரே
kelkar	கேல்கர்
kella	கெல்லா
kelton	கெல்டன்
kelvin	கெல்வின்
kelvingrove art gallery and museum	கெல்வின்குரூவ் ஆர்ட் கேலரி அண்ட் மியூஸியம்
kemijarvi	கெமிஜர்வி
ken rutherford	கென் ருதர்ஃப்போர்ட்
ken wadsworth	கென் வாட்ஸ்வர்த்
kenadia	கெனாதியா
kenda	கென்டா
kendra	கென்ந்த்ரா
kendurkar	கெந்துர்கர்
kenna	கென்னா
kenneth	கென்னத்
kennice	கென்னிஸ்
kenny	கென்னி
kenny benjamin	கென்னி பெஞ்சமின்
kenosha bible	கெனோஷ பைபிள்
kent	கென்ட்
kenth	கென்த்
kenton	கென்டன்
kentucky	கென்டக்கி
keoladeo ghana	கியோலாடியோ கானா
kephart united methodist	கெபர்ட் யுனைட்டெட் மெதோடிஸ்ட்
kepler wessels	கெப்லர் வெசல்ஸ்
kepulauan seribu	கெபுலாவன் செரிபு
kera	கேரா
keral	கேரளா
kerinci seblat	கெரின்சி செப்லாத்
kerry walmsley	கெர்ரி வால்ம்ஸ்லே
kershaw	கெர்ஷா
kesava	கேசவ
keshavdas	கேஷவ்தாஸ்
keshihan	கேஷிஹான்
keshika	கேஷிகா
keshini	கேஷினி
kesoram	கேசோராம்
kessel	கெஸ்ஸெல்
ketaki	கேடாகி
ketchum	கெட்சம்
ketkar	கேத்கர்
kevalkishore	கேவால்கிஷோர்
kevalkumar	கேவால்குமார்
kevin arnott	கெவின் ஆர்னாட்
kevin costner	கெவின் காஸ்ட்னர்
kevin duers	கெவின் டுயர்ஸ்
kevin spacey	கெவின் ஸ்பேசி
kevina	கெவினா
key tower	கீ டவர்
khadakwasla	கடக்வஸ்லா
khadilkar	கதில்கர்
khadim	காதிம்
khahera	காஹெரா
khajit	காஜித்
khakh	காக்
khalaf	காலாஃப்
khaled mahmud	காலெத் மாஹ்முத்
khaleed	காலீத்
khaleel	காலீல்
khaleeq	காலீக்
khalifah	காலிஃபா
khalis	காலிஸ்
khallad	காலாத்
khamosh sipahi	காமோஷ் சிபாஹி
khamoshi	காமோஷி
khandani	காந்தானி
khandekar	காண்டேகர்
khandesh	கந்தேஷ்
khanduja	கன்டுஜா
khanna	கண்ணா
khanvilkar	கன்வில்கர்
khara khota	கர கோதா
kharad	காராத்
kharga	கார்கா
khartoum	கர்தவும்
khasgiwale	காஸ்கிவாலே
khatarnak	கதர்நாக்
khatavkar	கதவ்கர்
khateeb	காதீப்
khatkadkala	காட்காட்கலா
khatoon	காதூன்
khattar	காட்டர்
khaufnak aankhen	கௌஃப்ன்க் ஆங்கேன்
khazana	கஸானா
khazin	காஸின்
khel khiladi ka	கேல் கிலாடி கா
khelne	கேல்னே
khemprakash	கெம்பிரகாஷ்
khera	கெரா
khimsar	கிம்சார்
khinda	கிண்டா
khirash	கிராஷ்
khiri	கிரி
khirwadkar	கிர்வாத்கர்
khoj	கோஜ்
khoon kharaba	கூன் கராபா
khoon ki keemat	கூன் கி கீமத்
khoon ki pukar	கூன் கி புகார்
khoon ki takkar	கூன் கி டக்கர்
khooni kaun	கூனி கவுன்
khosha	கோஷா
khot	கோத்
khote sikkey	கோட்டெ சிக்கே
khoums	கௌம்ஸ்
khubgaonkar	குப்கோன்கர்
khuda kasam	குதா காஸம்
khudai khidmatgar	குதாய் கித்மாட்கர்
khudrah	குத்ரா
khufia mahal	குஃப்பியா மஹால்
khulayd	குலேத்
khuli khidki	குலி கிட்கி
khulud	குலுத்
khungra	குங்ரா
khurana	குரானா
khush naseeb	குஷ் நஸீப்
khush raho	குஷ் ராஹோ
khushal	குஷால்
khushboo	குஷ்பு
khuzamah	குஸ்ஸாமா
khwaja mir dard	க்வாஜா மிர் தார்த்
khyati	கியாத்தி
kiana	கியானா
kiandra	கியாந்திரா
kiara	கியாரா
kibey	கிபே
kiefer	கைஃபர்
kiev	கியேவ்
kifayat	கிஃபாயாத்
kigali	கிகலி
kiley	கிலே
kim hughes	கிம் ஹக்ஸ்
kimaya	கிமாயா
kimber	கிம்பர்
kina	கினா
kineta	கினேடா
kinetic	கைனடிக்
king edward vii	கிங் எட்வர்ட் VII
king faisal foundation prize	கிங் ஃபைசல் ஃபவுண்டேஷன் ப்ரைஸ்
king of carnival	கிங் ஆஃப் கார்னிவல்
kingfisher	கிங்ஃபிஷர்
kinshuk	கின்ஷுக்
kira	கிரா
kiran	கிரண்
