AA GALE LAG JA	ஆ கலே லாக் ஜா
HUD	ஹுத்
HUGHES MEDAL	ஹ்யூக்ஸ் மெடல்
HUJJAT	ஹுஜ்ஜத்
HUKAYMAH	ஹுகாய்மா
HUM BHI KUCH KAM NAHIN	ஹம் பி குச் காம் நஹின்
HUM DIWANE	ஹம் திவானே
HUM DO DAKU	ஹம் தோ தாக்கு
HUM DONO	ஹம் தோனோ
HUM EK HAIN	ஹம் ஏக் ஹெயின்
HUM INTEZAAR KARENGE	ஹம் இன்டசார் கரேங்கே
HUM JUNGLEE HAIN	ஹம் ஜங்லீ ஹெயின்
HUM KAHAN JA RAHE HAIN	ஹம் கஹான் ஜா ராஹே ஹெயின்
HUM KISI SE KUM NAHIN	ஹம் கிசி சே கம் நஹின்
HUM MATAWLE NAUJAWAN	ஹம் மதவ்லே நௌஜவான்
HUM NAHIN SUDHRENGE	ஹம் நஹின் சுத்ரேங்கே
HUM PANCH	ஹம் பஞ்ச்
HUM SE HAI ZAMANA	ஹம் சே ஹை ஸமானா
HUM SE NA JEETA KOI	ஹம் சே நா ஜீதா கோய்
HUM SHAKAL	ஹம் ஷகல்
HUM TERE ASHIQ HAIN	ஹம் தேரே ஆஷிக் ஹெயின்
HUM TUM AUR WHO	ஹம் தும் ஔர் ஹூ
HUMAAM	ஹுமாம்
HUMAM	ஹுமம்
HUMARE TUMHARE	ஹமாரே துமாரே
HUMAYUN FARHAT	ஹுமாயுன் ஃபர்ஹத்
HUMDARD	ஹம்தர்த்
HUMJOLI	ஹம்ஜோலி
HUMSAFAR	ஹம்ஸஃபர்
HUNTSVILLE CHRISTIAN	ஹண்ட்ஸ்வில்லே கிறிஸ்டியன்
HURRAH	ஹுர்ரா
HUSAM	ஹுசம்
HUSN AUR ISHQ	ஹஸன் ஔர் இஷ்க்
HUSN BANOO	ஹஸன் பனூ
HUSN KA CHOR	ஹஸன் கா சோர்
HUSN KA GHULAM	ஹஸன் கா குலாம்
HUSNAA	ஹுஸ்னா
HUSNARAA	ஹுஸ்னரா
HUSNEE	ஹுஸ்னீ
HUSNI	ஹுஸ்னி
HUSSAIN	ஹுசெயின்
HUTCHISON ESSAR	ஹட்சிசன் எஸ்ஸார்
HUZAYL	ஹுஸைல்
HYDE	ஹைட்
HYDERABAD PUBLIC SCHOOL	ஹைதெராபாத் பப்ளிக் ஸ்கூல்
HYDROGENICS CORPORATION	ஹைடிரோஜீனிக்ஸ் கார்ப்பரேஷன்
HYUNDAI	ஹுண்டாய்
IAGO	ஐகோ
IAN	ஐயன்
IAN BELL	ஐயன் பெல்
IAN BISHOP	இயன் பிஷப்
IAN BOTHAM	ஐயன் போதம்
IAN BRADSHAW	இயன் ப்ராட்ஷா
IAN CHAPPELL	ஐயான் சாப்பல்
IAN HARVEY	ஐயான் ஹார்வே
IAN HEALY	ஐயான் ஹேலி
IAN SMITH	ஐயன் ஸ்மித்
IBIZA	இபிஸா
IBRAHIM	இப்ராஹிம்
IBRAT	இப்ராத்
IBSEN	இப்சென்
IBTHAJ	இப்தாஜ்
IBTIHAL	இப்டிஹால்
IBTISAM	இப்டிசாம்
ICHHA	இச்சா
ICHHITA	இச்சித்தா
IDANA	ஐடானா
IDD MUBARAK	ஈத் முபாரக்
IDI AMIN	இடி அமின்
IGNATIUS	இக்னேஷியஸ்
IGUACU	இக்வாகு
IGUAZU	இகுவாசு
IHTIRAM	இஹ்திராம்
IKHLAS	இக்லாஸ்
IKI	ஐகி
IKSHU	இக்ஷூ
ILHAM	இல்ஹாம்
ILIAMNA	லியம்ன
ILITHYA	இலித்யா
ILLAHI	இலாஹி
ILLIAS	இலையாஸ்
ILLUSTRIOUS	இலஸ்டிரியஸ்
ILM	இல்ம்
ILYAS	இலியாஸ்
ILZAAM	இல்ஸாம்
IMAD	இமாத்
IMPERO	இம்பெரோ
IMPHAL	இம்பால்
IMPLACABLE	இம்பிலேசபிள்
IMRAN FARHAT	இம்ரான் ஃபர்ஹத்
IMRAN KHAN	இம்ரான் கான்
IMRAN NAZIR	இம்ரான் நஸீர்
IMTIHAAN	இம்டிஹான்
IMTIHAL	இம்டிஹால்
IMTIYAZ	இம்டியாஸ்
IN'AM	இன்'ஆம்
INA	இனா
INAAM	இனாம்
INAM DUS HAZAR	இனாம் தஸ் ஹஸர்
INAN	இனான்
INAYAH	இனயா
INAYAT	இனாயத்
INAYAT KHAN	இனாயாத் கான்
INDEEVER	இந்தீஎவர்
INDERDEEP	இந்தர்தீப்
INDIA	இந்தியா
INDIA GLYCOLS	இந்தியா க்ளைகோல்ஸ்
INDIAN INTERNATIONAL SCHOOL	இந்தியன் இன்டர்நேஷனல் ஸ்கூல்
INDIAN OCEAN	இந்தியன் ஓஷன்
INDIAN OIL	இந்தியன் ஆயில்
INDIAN RAYON	இந்தியன் ரேயான்
INDIANA UNIVERSITY EAST	இண்டியானா யூனிவர்சிட்டி ஈஸ்ட்
INDIANAPOLIS	இன்டியானாபோலிஸ்
INDIKA DE SARAM	இண்டிகா டி சரம்
INDIRA GANDHI	இந்திரா காந்தி
INDIUM	இன்டியம்
INDO GULF	இண்டோ கல்ஃப்
INDO RAMA	இண்டோ ராமா
INDOMITABLE	இன்டாமிடபிள்
INDRA LEELA	இந்திர லீலா
INDRAJA	இந்திரஜா
INDRAKANTA	இந்திரகன்தா
INDRAKARMAN	இந்திராகர்மன்
INDRAKSHI	இந்திராக்ஷி
INDRANI	இந்திரானி
INDRANUJ	இந்திரானுஜ்
INDRAPRASTHA	இந்த்ரப்ரஸ்தா
INDRAPRIYA	இந்திராபிரியா
INDRAVISHNU	இந்திராவிஷ்ணு
INDUBHUSHAN	இந்துபூஷன்
INDUBRIHT	இந்துபிரிஹ்த்
INDUMA	இந்துமா
INDUPRABHA	இந்துபிரபா
INDUSHEKHAR	இந்துஷேக்கர்
INDUSIND BANK	இண்டஸ்இண்ட் பேங்க்
INFLEXIBLE	இன்ஃபிளெக்ஸிபிள்
INFOSYS TECHNOLOGIES	இனஃபோசிஸ் டெக்காலஜிஸ்
INGEBORG BACHMANN PRIZE	இங்கிபோர்க் பேக்மேன் ப்ரைஸ்
INGERSOLL RAND	இங்கர்சால் ரேண்ட்
INGURSKAYA	இன்குர்ஸ்கயா
INIGO	இனிகோ
INKAAR	இன்கார்
INSAAF KA TARAZU	இன்சாஃப் கா தராஸு
INSAAF KAUN KAREGA	இன்சாஃப் கோன் கரேகா
INSAAF KI PUKAR	இன்சாஃப் கி புகார்
INSAAN	இன்சான்
INSAANIYAT	இன்சானியத்
INSTRUMENTAL ROCK GUITAR HALL OF FAME	இன்ஸ்ட்ருமெண்டல் ராக் கிட்டார் ஹால் ஆஃப் ஃபேம்
INTEL	இண்டல்
INTERCEPTOR	இன்டர்செப்டர்
INTERCONTINENTAL CUP	இண்டர்காண்டினண்டல் கப்
INTERNATIONAL GRANDMASTERS	இண்டர்நேஷனல் க்ராண்ட்மாஸ்டர்ஸ்
INTERNATIONAL PAPER	இன்டர்நெஷனல் பேப்பர்
INTERPID SEA-AIR-SPACE MUSEUM	இன்டர்பிட் சீ-ஏர்-ஸ்பேஸ் மியூஸியம்
INTISAR	இன்டிசார்
INTIZAR	இன்டிஸார்
INTL BUSINESS MACHINES	இன்டல் பிஸினஸ் மெஷின்ஸ்
INVINCIBLE	இன்வின்சிபிள்
IORWEN	ஐஓர்வென்
IOWA	அயோவா
IPHIGENIA	இபிஜீனியா
IPSA	இப்ஸா
IQBAL QASIM	இக்பால் காஸிம்
IQBAL SIKANDER	இக்பால் சிக்கந்தர்
IRAN KI EK RAAT	இரான் கி ஏக் ராத்
IRANIAN	இரானியன்
IRAWATI	இராவத்தி
IRELAND	அயர்லேண்ட்
IRFAN	இர்ஃபான்
IRFAN BHATTI	இர்ஃபான் பாட்டீ
IRIA	இரியா
IRON	ஐயர்ன்
IRVINE SHILLINGFORD	இர்வைன் ஷில்லிங்ஃபோர்ட்
IRVING	இர்விங்
IS PAAR YA US PAAR	இஸ் பார் யா உஸ் பார்
ISA	இசா
ISABELLE	இசாபெல்
ISADORA	இசாதோரா
ISAURA	ஐசவ்ரா
ISHAAR	இஷார்
ISHAN	இஷான்
ISHITA	ஐஷிதா
ISHTIYAQ	இஷ்தியாக்
ISHWAR ALLAH TERE NAAM	ஈஷ்வர் அல்லா தேரே நாம்
ISI KA NAAM DUNIYA HAI	இசி கா நாம் துனியா ஹை
ISMA'IL	இஸ்மெயில்
ISMAH	இஸ்மா
ISTAKHRI	இஸ்தாக்ரி
ISUZU MOTORS	ஐசூஸு மோட்டார்ஸ்
ITIHAAS	இதிஹாஸ்
ITO YOKADO	ஐடோ யோகாடா
ITTEFAQ	இட்டஃபக்
ITURAN LOCATION AND CONTROL	இதுரான் லோக்கேஷன் அண்ட் கன்டிரோல்
IVANHOE ENERGY	இவன்ஹோ எனர்ஜி
IVIE	ஐவி
IVORY	ஐவரி
IVORY COAST	ஐவரி கோஸ்ட்
IVVAVIK	இவ்வாவிக்
IWAMI	இவாமி
IZHAR	இஸ்ஸார்
IZZAT AABROO	இஸ்ஸாத் ஆப்ரூ
I^DIYAA	இந்தியா
I^DU MANI	இந்துமணி
I^JEENIYAR	இஞ்சீனியர்
J. FRANKLIN BELL	ஜெ. ஃப்பிரான்க்லின் பெல்
JAAG UTHA INSAAN	ஜாக் உதா இன்சான்
JAAL	ஜால்
JAAL SAAZ	ஜால் சாஸ்
JAALI NOTE	ஜாலி நோட்
JAAMDAR	ஜாம்தர்
JAAN	ஜான்
JAAN HATHELI PE	ஜான் ஹதேலி பே
JAAN-E-BAHAAR	ஜான்-ஏ-பஹார்
JAANI DOST	ஜானி தோஸ்த்
JAAYEN TO JAAYEN KAHAN	ஜாயேன் தோ ஜாயேன் கஹான்
JAB ANDHERA HOTA HAI	ஜப் அந்தேரா ஹோதா ஹை
JAB SE TUMHE DEKHA HAI	ஜப் சே தும்ஹே தேகா ஹை
JAB YAAD KISI KI AATI HAI	ஜப் யாத் கிசி கி ஆதி ஹை
JABALPUR	ஜபல்பூர்
JABIR	ஜபீர்
JACINDA	ஜெசிந்தா
JACK BENNY	ஜாக் பென்னி
JACK HERON	ஜேக் ஹெரோன்
JACK NICHOLSON	ஜாக் நிகோல்சன்
JACK RICHARDS	ஜாக் ரிச்சர்ட்ஸ்
JACKIE	ஜாக்கி
JACLYN ELDERS	ஜாக்லின் எல்டர்ஸ்
JACOB VAN HEEMSKERCK	ஜேக்கப் வான் ஹீம்ஸ்கெர்க்
JACOB'S WELL	ஜேகப்ஸ் வெல்
JACQUES	ஜாக்ஸ்
JACQUES KALLIS	ஜாக்ஸ் காலிஸ்
JACQUES RUDOLPH	ஜாக்ஸ் ருடால்ஃப்
JADHAV	ஜாதவ்
JADU MAHAL	ஜாடு மஹல்
JADU TONA	ஜாடு டோனா
JADUGAR	ஜாடுகர்
JADUI ANGOOTHI	ஜாடுய் அங்கூதி
JADUI BANDHAN	ஜாடுய் பந்தன்
JADUI BANSARI	ஜாடுய் பன்சாரி
JADUI CHITRA	ஜாடுய் சித்ரா
JAEGER	ஜேகர்
JAGADAMBA	ஜகதாம்பா
JAGADANBAA	ஜகதான்பா
JAGADEEP	ஜகதீப்
JAGADHIDH	ஜகதீத்
JAGAJEET	ஜகாஜீத்
JAGANNATH	ஜகநாத்
JAGANNATH PURI	ஜகன்நாத் புரி
JAGAT MOHINI	ஜகத் மோகினி
JAGDEEP	ஜகதீப்
JAGDEESH	ஜகதீஷ்
JAGGER	ஜாகர்
JAGRAN	ஜக்ரன்
JAGTAP	ஜக்தப்
JAGTE RAHO	ஜக்தே ராஹோ
JAGUR	ஜகுரி
JAHANARA	ஜஹனாரா
JAHANGIR ALAM TALUKDAR	ஜஹாங்கிர் அலாம் டாலுக்டர்
JAHANGIR SHAH	ஜஹாங்கிர் ஷா
JAHDAMAH	ஜதாமா
JAHEEL	ஜஹீல்
JAHM	ஜம்
JAHURA	ஜாஹூரா
JAI AMBE MAA	ஜெய் ஆம்பே மா
JAI HO MOHABBAT KI	ஜெய் ஹோ மொஹபத் கி
JAI JAWAN JAI KISAN	ஜெய் ஜவான் ஜெய் கிஸான்
JAI KAROLI MAA	ஜெய் கரோலி மா
JAI MAHALAXMI	ஜெய் மகாலக்ஷ்மி
JAI PRAKASH YADAV	ஜெய் பிரகாஷ் யாதங்
JAICHAND	ஜெய்சந்த்
JAIGOPAL	ஜெய்கோபால்
JAINARAYAN	ஜெய்நாராயண்
JAIPRAKASH ASSO	ஜெய்பிரகாஷ் அசோ
JAIPUR	ஜெய்பூர்
JAIPUR FORT	ஜெய்பூர் ஃபோர்ட்
JAISAL	ஜேய்சல்
JAISALMER FORT	ஜைஸால்மெர் ஃபோர்ட்
JAISHREE	ஜெயஸ்ரீ
JAISI KARNI WAISI BHARNI	ஜெய்சி கர்னி வைசி பர்னி
JAISUDHA	ஜெய்சுதா
JAJJ	ஜாஜ்
JAJPUR	ஜஜ்பூர்
JAKADIA	ஜகாடியா
JAL BIN MACHALI	ஜல் பின் மச்சாலி
JALABALA	ஜலபாலா
JALAJA	ஜலஜா
JALAL	ஜலால்
JALAL AL-DIN RUMI	ஜலால் அல்-தின் ருமி
JALAN	ஜலன்
JALAUN	ஜலவுன்
JALEEL	ஜலீல்
JALENE	ஜேலீன்
JALGAON	ஜல்காவூன்
JALIA	ஜாலியா
JALIANWALA BAGH	ஜாலியன்வாலா பாக்
JALIANWALA BAGH KI JYOTI	ஜாலியன்வாலா பாக் கி ஜோதி
JALSA	ஜல்சா
JALWA	ஜால்வா
JAMAI RAJA	ஜமாய் ராஜா
JAMAL	ஜமால்
JAMBHEKAR	ஜம்பேகர்
JAMES	ஜேம்ஸ்
JAMES BROWN	ஜேம்ஸ் பிரவுன்
JAMES CAGNEY	ஜேம்ஸ் கேக்னி
JAMES COOK UNIVERSITY	ஜேம்ஸ் குக் யூனிவர்சிட்டி
JAMES FOSTER	ஜேம்ஸ் ஃப்பாஸ்டர்
JAMES FRANKLIN	ஜேம்ஸ் ஃப்பிரான்க்லின்
JAMES HOPES	ஜேம்ஸ் ஹோப்ஸ்
JAMES KAMANDE	ஜேம்ஸ் காமான்டெ
JAMES ORMOND	ஜேம்ஸ் ஆர்மண்ட்
JAMIE DALRYMPLE	ஜாமி டால்ரிம்பிள்
JAMINI	ஜாமினி
JAMNAGAR	ஜம்நகர்
JAMSHEDPUR	ஜம்ஷெத்பூர்
JAMUNA	ஜமுனா
JANAK	ஜனக்
JANAKI	ஜானகி
JANAN	ஜேனன்
JANANI	ஜனனி
JANARDAN	ஜனார்தன்
JANARDAN THAKUR	ஜனார்தன் தாகுர்
JANE	ஜேன்
JANE BHI DO YAARON	ஜானே பி தோ யாரோன்
JANELLE	ஜனேல்
JANET RINO	ஜானட் ரினோ
JANGLE	ஜங்லே
JANHAVI	ஜானவி
JANINE	ஜனைன்
JANIS JOPLIN	ஜானிஸ் ஜோப்லின்
JANNAH	ஜன்னா
JANSATTA	ஜான்சாட்டா
JANYU	ஜன்யு
JAPAN	ஜப்பான்
JAPAN TOBACCO	ஜப்பான் டோபாக்கோ
JAPESH	ஜபேஷ்
JAPINDER	ஜபிந்தர்
JARAAH	ஜரா
JAREER	ஜரீர்
JARIYAH	ஜரியா
JARVIS	ஜார்விஸ்
JASAVANT	ஜஸவந்த்
JASBEER	ஜஸ்பீர்
JASHN	ஜாஷ்ன்
JASMIN	ஜாஸ்மின்
JASMINDER	ஜஸ்மிந்தர்
JASODHARA	ஜஸோதரா
JASON	ஜேஸன்
JASPAL	ஜஸ்பால்
JASRAH	ஜஸ்ரா
JASSAL	ஜஸ்ஸல்
JASSI	ஜாஸ்ஸி
JASVEER	ஜஸ்வீர்
JASVINDER	ஜஸ்விந்தர்
JATAA SHANKAREE	ஜடா ஷங்கரி
JATHHAR	ஜத்ஹர்
JATIN	ஜதின்
JAUNIE	ஜானி
JAUNPUR	ஜவுன்புர்
JAUREGUIBERRY	ஜவ்ரேகுபெர்ரி
JAVAGAL SRINATH	ஜவாகல் ஷ்ரினாத்
JAWAB	ஜவாப்
JAWAHAR	ஜவஹர்
JAWAN MARD	ஜவான் மர்த்
JAWANI DIWANI	ஜவானி திவானி
JAWANI KE GUNAH	ஜவானி கே குணா
JAWANI KI KAHANI	ஜவானி கி கஹானி
JAWANI KI LEHREN	ஜவானி கி லெய்ரென்
JAWANI SOLAH SAAL KI	ஜவானி சோலாஹ் சால் கி
JAWARA	ஜவாரா
JAWDAN	ஜவதான்
JAWHAR	ஜவஹர்
JAWHARAH	ஜவாரா
JAYADITYA	ஜெயதித்யா
JAYALAKSHMI	ஜெயலக்ஷ்மி
JAYALALITA	ஜெயலலிதா
JAYANTA	ஜெயந்தா
JAYASHEKHAR	ஜெயசேகர்
JAYASINH	ஜெயசிங்
JAYDEEP	ஜெய்தீப்
JAYDEN	ஜெய்தேன்
JAYESHVAR	ஜெயேஷ்வர்
JAYPRADA	ஜெய்பிரதா
JAZBAAT	ஜஸ்பாத்
JAZLYNN	ஜாஸ்லின்
JEANINE	ஜீனைன்
JEANNE	ஜீனீ
JECY JACKSON	ஜெசி ஜாக்சன்
JEENE DO	ஜீனே தோ
JEENE KI RAAH	ஜீனே கி ராஹ்
JEET	ஜீத்
JEET HAMARI	ஜீத் ஹமாரி
JEETAN PATEL	ஜீட்டன் பட்டேல்
JEETE HAIN SHAN SE	ஜீதே ஹெயின் ஷான் சே
JEEVAL	ஜீவல்
JEEVAN EK SANGHURSH	ஜீவன் ஏக் சங்கர்ஷ்
JEEVAN MRITYU	ஜீவன் மிருத்யு
JEEVAN NAIYA	ஜீவன் நயா
JEEVAN PRABHAT	ஜீவன் பிரபாத்
JEEVAN SANGRAM	ஜீவன் சங்ராம்
JEEVANA	ஜீவனா
JEEVANKALA	ஜீவன்கலா
JEEVANLATA	ஜீவன்லதா
JEFF	ஜெஃப்
JEFF BRIDGES	ஜெஃப் பிரிட்ஜஸ்
JEFFERSON	ஜெஃபர்சன்
JEFFREY	ஜெஃப்ரி
JEMMA	ஜெம்மா
JEN	ஜேன்
JENAYA	ஜெனாயா
JENNICA	ஜெனிகா
JENNIFER	ஜெனிஃபர்
JERAULD	ஜெரால்ட்
JEREMY	ஜெரிமி
JERRY	ஜெர்ரி
JERUSALEM	ஜெருஸலம்
JET AIRWAYS	ஜெட் ஏர்வேஸ்
JET-SKIING	ஜெட்-ஸ்கையிங்
JETHANI	ஜெதானி
JETT	ஜேட்
JEWEL	ஜுவல்
JEWEL THIEF	ஜுவெல் தீஃப்
JEWELL	ஜுவல்
JEWETT-CAMERON TRADING COMPANY	ஜூவெட்-கேமரான் டிரேடிங் கம்பெனி
JHABAL	ஜாபால்
JHABBAR	ஜாப்பர்
JHADE	ஜாதே
JHALAK	ஜாலக்
JHAMBAARI	ஜாம்பாரி
JHANJHAR	ஜஞ்சார்
JHARNA	ஜார்னா
JHEEL KE US PAAR	ஜீல் கே உஸ் பார்
JHINUK	ஜீனக்
JHITARURAAM	ஜிதாருராம்
JHOOM UTHA AKAASH	ஜூம் உதா ஆகாஷ்
JHOOTHA SACH	ஜூதா சச்
JHOOTHI	ஜூதி
JHUNJHUNU	ஜுஞ்ஜுனு
JHUTTI	ஜுட்டி
JI CHAHTA HAI	ஜி சாஹ்தா ஹை
JIBRIL	ஜிப்ரில்
JIGRI DOST	ஜிக்ரி தோஸ்த்
JIGYASA	ஜிக்யாஸா
JIHAN	ஜிஹான்
JILL	ஜில்
JIM CARTER	ஜிம் கார்டர்
JIM MORRISON	ஜிம் மாரிசன்
JIMBO	ஜிம்போ
JIMMY COOK	ஜிம்மி குக்
JIMMY HENDRICKS	ஜிம்மி ஹென்ரிக்ஸ்
JIMUT	ஜிமுத்
JIMUTA	ஜிமுதா
JIN MAO BUILDING	ஜின் மாவோ பில்டிங்
JINDA	ஜிந்தா
JINENDRA	ஜினேந்திரா
JINGO	ஜிங்கோ
JINTA	ஜின்டா
JISM KA RISHTAA	ஜிஸம் கா ரிஷ்டா
JITEN_DR	ஜிதேந்தர்
JITMANYU	ஜித்மான்யு
JIVAN	ஜீவன்
JIVITESH	ஜிவிதேஷ்
JIYO AUR JEENE DO	ஜியோ ஔர் ஜீனே தோ
JIYO RAJA	ஜியோ ராஜா
JIYO TO AISE JIYO	ஜியோ தோ அய்சே ஜியோ
JNYANESHWAR	ஞானேஸ்வர்
JO ANGEL	ஜோ ஏஞ்சல்
JO HUWA SO BHOOL JA	ஜோ ஹுவா சோ பூல் ஜா
JOAN BAZE	ஜோன் பேஸ்
JOANNA	ஜோன்னா
JOANNE	ஜோன்னி
JODY	ஜோடி
JOEL	ஜோயல்
JOEY BENJAMIN	ஜோயி பெஞ்சமின்
JOGAN	ஜோகன்
JOGGING	ஜாக்கிங்
JOGINDRA	ஜோகிந்த்ரா
JOGLEKAR	ஜோக்லேகர்
JOHAN STRAUS BATCH	ஜோஹன் ஸ்ட்ராஸ் பேட்ச்
JOHANNESBURG	ஜோவன்னஸ்பர்க்
JOHAR IN KASHMIR	ஜோஹர் இன் காஷ்மிர்
JOHAR MEHMOOD IN HONG KONG	ஜோஹர் மெய்மூத் இன் ஹாங்காங்
JOHN AUBUCHON FREEDOM	ஜான் ஆபுச்சோன் ஃப்ரீடம்
JOHN BRACEWELL	ஜான் பிரேஸ்வெல்
JOHN CRAWLEY	ஜான் கிராலே
JOHN EMBUREY	ஜான் எம்புரே
JOHN F. KENNEDY	ஜான் எஃப். கென்னடி
JOHN GRISHAM	ஜான் க்ரிஷாம்
JOHN HAMPSHIRE	ஜான் ஹாம்ப்ஷைர்
JOHN HANCOCK CENTER	ஜான் ஹன்காக் சென்டர்
JOHN JAMESON	ஜான் ஜேம்ஸன்
JOHN LANEN	ஜான் லேனன்
JOHN LEVER	ஜான் லேவர்
JOHN MILTON	ஜான் மில்டன்
JOHN MUIR	ஜான் முயர்
JOHN PAUL GETTY	ஜான் பால் கெட்டி
JOHN REID	ஜான் ரேய்ட்
JOHN TASH	ஜான் டாஷ்
JOHN THE BAPTIST	ஜான் தி பாப்டிஸ்ட்
JOHN TRAICOS	ஜான் ட்ரெய்காஸ்
JOHN TRAVOLTA	ஜான் ட்ரொவோல்டா
JOHNAVON	ஜானேவன்
JOHNSON CONTROLS	ஜான்ஸன் கன்டிரோல்ஸ்
JOHNY MERA NAAM	ஜானி மேரா நாம்
JOIE	ஜோயி
JOKER	ஜோக்கர்
JOLENE	ஜோலீன்
JOLIE	ஜோலி
JON LEWIS	ஜன் லீவிஸ்
JORDANE	ஜோர்டன்
JORHAT	ஜோர்ஹத்
JORJANNA	ஜோர்ஜன்னா
JOSEPH CAMPBELL	ஜோசப் கேம்பெல்
JOSEPH STALIN	ஜோசப் ஸ்டாலின்
JOSEPH T. DICKMAN	ஜோசப் டி. டிக்மேன்
JOSHILA	ஜோஷிலா
JOUL	ஜெளல்
JOVITA	ஜோவிதா
JOY	ஜாய்
JOYLYN	ஜாய்லின்
JUBILANT	ஜுபிலண்ட்
JUDAMNAH	ஜுதாம்னா
JUDD	ஜுட்
JUDSON	ஜூட்ஸன்
JUGNU	ஜுக்னு
JULAKKA	ஜுலாக்கா
JULFIKAR	ஜுல்ஃபிகர்
JULIA ROBERTS	ஜூலியா ராபர்ட்ஸ்
JULIEN WIENER	ஜூலியன் வியனெர்
JULIET	ஜூலியட்
JULIUS	ஜூலியஸ்
JUMA'	ஜுமா
JUMANAH	ஜுமனா
JUMP ROPE	ஜம்ப் ரோப்
JUNE	ஜூன்
JUNGLE KING	ஜங்கிள் கிங்
JUNGLE LOVE	ஜங்கிள் லவ்
JUNGLEE	ஜங்லீ
JUNIOR	ஜூனியர்
JUNYO	ஜுன்யோ
JUPITER	ஜூப்பிட்டர்
JUPITER BIO	ஜுபிடர் பயோ\
JURA	ஜூரா
JURRAT	ஜுர்ரத்
JUSTICE CHIBHABHA	ஜஸ்டிஸ் சிபாபா
JUSTIN LANGER	ஜஸ்டின் லாங்கெர்
JUSTUS	ஜஸ்டஸ்
JUTHAMAH	ஜுதாமா
JWAHARLAL NEHRU UNIVERSITY INDIA	ஜவஹர்லால் நேரு யூனிவர்சிட்டி இந்தியா
JWALA	ஜ்வாலா
JWALA DAKU	ஜ்வாலா தாக்கு
JWALAMUKHI	ஜ்வாலமுகி
JWAR BHATA	ஜ்வார் பாதா
JYOTI BANE JWALA	ஜோதி பனே ஜ்வாலா
JYOTSANAA	ஜோத்ஸ்னா
KAAFILA	காஃபிலா
KAALAJ	காலாஜ்
KAALARAATRI	காலராத்ரி
KAALKUNJA	கால்குஞ்ஜா
KAAMAGNI	காமாக்னி
KAAMCHOR	காம்சோர்
KAANADE	கானதே
KAANCHANEE	கான்சனீ
KAARAN	காரன்
KABHI AJNABI THE	கபி அஜ்னபி தே
KABUL	காபுல்
KABULI KHAN	கபுலி கான்
KABZAA	கப்சா
KACHCHE DHAAGE	கச்சே தாகே
KACHCHI KALI	கச்சி காளி
KACY	கேசி
KADEN	காடென்
KADUTHURUTHI	காடுதுருத்தி
KAEL	காயேல்
KAELEM	காய்லெம்
KAETHE	கேய்தி
KAFAN	கஃபன்
KAGA	காகா
KAHANI EK CHOR KI	கஹானி ஏக் சோர் கி
KAHANI HUM SAB KI	கஹானி ஹம் சாப் கி
KAHANI KISMAT KI	கஹானி கிஸ்மத் கி
KAHIN AAR KAHIN PAAR	கஹின் ஆர் கஹின் பார்
KAHMA	காஹ்மா
KAIL	கைல்
KAILAASH	கைலாஷ்
KAILASHPATI	கைலாஷ்பதி
KAINJI DAM	கைன்ஜி டேம்
KAIROS	கைரோஸ்
KAISE KAHOON	கைசே கஹூன்
KAISER	கைஸர்
KAISER FRIEDRICH III.	கைஸர் ஃபிரைட்ரிச் III.
KAISERIN	கைசெரின்
KAITLYN	கேட்லின்
KAJAL	காஜல்
KAJAL SHARMA	காஜல் ஷர்மா
KAJJI	கஜ்ஜி
KAJWADKAR	கஜ்வாத்கர்
KAKA	காகா
KAL AAJ AUR KAL	கல் ஆஜ் ஔர் கல்
KAL HAMARA HAI	கல் ஹமாரா ஹை
KALA CHASHMA	கலா சாஷ்மா
KALA PANI	கலா பாணி
KALAHANDI	கலாஜான்டி
KALANKI	கலன்கி
KALE	கலே
KALEA	காலியா
KALELKAR	கலேகர்
KALI	காலி
KALI BASTI	காளி பஸ்தி
KALI GHATA	காளி காதா
KALI RAAT	காளி ராத்
KALIDAS	காலிதாஸ்
KALIKAMBAL	காளிகாம்பாள்
KALINJAR	கலிங்கார்
KALIPADA	காலிபடா
KALIYAN	கலியாண்
KALKIN	கல்கின்
KALPANA	கல்பனா
KALRA	கல்ரா
KALTHAM	கல்தம்
KALYANI	கல்யானி
KAMAJIT	காமாஜித்
KAMAKSHI	காமாக்க்ஷி
KAMAKSHI AMMAN	காமாட்சி அம்மன்
KAMALA	கமலா
KAMALAJ	காமாலாஜ்
KAMALAKAR	கமலாகார்
KAMALAPATI	கமலாபதி
KAMALESH	கமலேஷ்
KAMALIKA	கமலிகா
KAMALKALI	காமால்காலி
KAMELLA	காமெல்லா
KAMENG	காமெங்
KAMILAH	கமிலா
KAMILIA	காமிலியா
KAMINI	காமினி
KAMLA	கம்லா
KAMLA KI MAUT	கம்லா கி மௌத்
KAMOD	கமோத்
KAMRUP	காம்ரப்
KAMYAB	கம்யாப்
KANAK	கனக்
KANANBALA	கானான்பாலா
KANCH AUR HEERA	கன்ச் ஔர் ஹீரா
KANCHAN	காஞ்சன்
KANCHI	காஞ்சி
KANDHARI	கன்தாரி
KANE	கேன்
KANEEZ	கனீஸ்
KANG	காங்
KANGAN	கன்கன்
KANHAIYALAL	கன்ஹையால்
KANHERE	கன்ஹரே
KANIKA	கனிகா
KANKER	கன்கர்
KANKUKUS	கன்குகுஸ்
