ABASHIRI	網走
JUNKO	旬子
JUNNOSUKE	淳之助
JUNPEI	淳平
JUNRO	淳郎
JUNTA	淳太
JUNZO	淳三
JUO	十王
JURI	朱理
JURO	重郎
JUSABURO	寿三郎
JUSAKU	十作
JUZO	重蔵
KABA	蒲
KABAHARA	蒲原
KABASAWA	樺沢
KABATA	加畑
KABAYAMA	樺山
KABE	加辺
KABETANI	壁谷
KABEYA	壁谷
KABUKI	蕪木
KABURAGI	冠城
KABUYAMA	蕪山
KACHIKO	勝子
KADA	加田
KADO	加登
KADOGUCHI	門口
KADOI	門井
KADOKAWA	角川
KADOKURA	角倉
KADOMA	門真
KADOMATSU	門松
KADONO	門野
KADOTA	角田
KADOWAKI	門脇
KADOYA	角屋
KAE	佳恵
KAEDE	楓
KAEKO	佳恵子
KAGA	加賀
KAGAMI	加賀美
KAGAMIISHI	鏡石
KAGAWA	加川
KAGAYA	加賀屋
KAGAYAMA	加賀山
KAGE	鹿毛
KAGEKI	景樹
KAGEO	影夫
KAGESAWA	影沢
KAGEYAMA	影山
KAGIMOTO	鍵本
KAGIWADA	鍵和田
KAGIYA	鍵谷
KAGIYAMA	鍵山
KAGOMIYA	篭宮
KAGOSHIMA	篭島
KAGOTANI	篭谷
KAHO	佳帆
KAHOKU	鹿北
KAHORI	佳保利
KAI	快
KAIBARA	貝原
KAIBE	海部
KAIBO	海保
KAICHI	嘉一
KAICHIRO	嘉一郎
KAIDA	会田
KAIDO	海藤
KAIEDA	海江田
KAIHEI	海平
KAIHO	海保
KAIICHI	開一
KAIJI	開次
KAIKI	海記
KAINO	海野
KAINUMA	海沼
KAIONJI	海音寺
KAISAWA	会沢
KAISE	海瀬
KAISHU	海舟
KAITA	貝田
KAITO	垣内
KAIYA	海谷
KAIZO	海造
KAIZU	海津
KAIZUKA	貝塚
KAJI	加地
KAJII	梶井
KAJIKAWA	梶川
KAJIKI	加治木
KAJIMA	梶間
KAJIMOTO	梶本
KAJIMURA	梶村
KAJINO	梶野
KAJISA	加治佐
KAJITA	梶田
KAJITANI	梶谷
KAJITSUKA	梶塚
KAJIURA	梶浦
KAJIWARA	梶原
KAJIYA	加治屋
KAJIYAMA	梶山
KAKAMIGAHARA	各務原
KAKEFUDA	掛札
KAKEGAWA	掛川
KAKEHASHI	梯
KAKEHI	筧
KAKEI	筧
KAKEYA	掛合
KAKIHARA	柿原
KAKIKI	柿木
KAKIMI	垣見
KAKIMOTO	垣本
KAKINOKI	柿木
KAKINUMA	柿沼
KAKITA	垣田
KAKITANI	柿谷
KAKIUCHI	垣内
KAKIZAKI	柿崎
KAKIZAWA	柿沢
KAKIZONO	柿園
KAKO	佳子
KAKOGAWA	加古川
KAKU	加来
KAKUBARI	角張
KAKUCHI	角地
KAKUDA	角田
KAKUDATE	角舘
KAKUEI	角栄
KAKUI	角井
KAKUKAWA	角川
KAKUKO	佳久子
KAKUMOTO	角本
KAKUNAMI	角南
KAKUNO	角野
KAKUNODATE	角館
KAKURA	鹿倉
KAKURAI	加倉井
KAKUTARO	角太郎
KAKUYA	角屋
KAKUYAMA	角山
KAKUYUKI	角幸
KAMACHI	蒲地
KAMAGATA	鎌形
KAMAHARA	鎌原
KAMAI	釜井
KAMAISHI	釜石
KAMAKARI	鎌苅
KAMAKURA	鎌倉
KAMANO	鎌野
KAMATA	蒲田
KAMATAKI	鎌滝
KAMATANI	釜谷
KAME	鹿目
KAMEDA	亀田
KAMEI	亀井
KAMEJI	亀次
KAMEJIMA	亀嶋
KAMEJIRO	亀次郎
KAMEKAWA	亀川
KAMEKICHI	亀吉
KAMEKURA	亀倉
KAMEMURA	亀村
KAMENOSUKE	亀之助
KAMEO	亀夫
KAMEOKA	亀岡
KAMETANI	亀谷
KAMETARO	亀太郎
KAMEYAMA	亀山
KAMEYO	亀代
KAMEZAWA	亀沢
KAMI	上
KAMIBE	神部
KAMICHI	上地
KAMIDE	上出
KAMIFUJI	神藤
KAMIFUKUOKA	上福岡
KAMIGAKI	上垣
KAMIGUCHI	上口
KAMIGYO	上京
KAMIHARA	上原
KAMIHIRA	上平
KAMII	上井
KAMIICHI	上市
KAMIISHI	上石
KAMIJIMA	上島
KAMIKAWA	上川
KAMIKAWACHI	上河内
KAMIKI	神気
KAMIKITA	上北
KAMIKO	神子
KAMIKUBO	上久保
KAMIKURA	上倉
KAMIMA	上間
KAMIMOTO	上本
KAMIMURA	神村
KAMINAGA	神永
KAMINAKA	上中
KAMINISHI	上西
KAMINO	神野
KAMINOKAWA	上三川
KAMINOYAMA	上山
KAMINUMA	上沼
KAMIO	神尾
KAMIOKA	神岡
KAMISAKA	上坂
KAMISATO	上里
KAMISAWA	神沢
KAMISHIMA	上島
KAMISHIRO	上代
KAMISU	神栖
KAMITA	上田
KAMITANI	上谷
KAMITONO	上遠野
KAMITSU	神津
KAMITSUKI	上月
KAMIURA	上浦
KAMIYA	上谷
KAMIYAMA	上山
KAMIYAMADA	上山田
KAMIYASU	上保
KAMO	加茂
KAMODA	鴨田
KAMOGAWA	鴨川
KAMOI	鴨井
KAMOSHIDA	鴨志田
KAMOSHITA	鴨下
KAMOTO	鹿本
KAMURA	加村
KAN	完
KAN'ICHI	勘一
KAN'ICHIRO	寛一郎
KAN'ONJI	観音寺
KANA	佳奈
KANABO	金棒
KANADA	金田
KANAE	佳奈枝
KANAEDA	金枝
KANAGAWA	神奈川
KANAGI	金木
KANAI	叶
KANAISHI	金石
KANAIZUMI	金泉
KANAKI	金木
KANAKO	佳名子
KANAKUBO	金久保
KANAMARU	金丸
KANAME	要
KANAMI	佳奈実
KANAMORI	金森
KANAMOTO	金本
KANAMURA	金村
KANAOKA	金岡
KANAOYA	金親
KANARI	佳奈利
KANASAGO	金砂郷
KANASAKA	金坂
KANASAKI	金崎
KANASUGI	金杉
KANAUCHI	金内
KANAUMI	金海
KANAWA	金輪
KANAYAMA	金山
KANAZAKI	金崎
KANAZAWA	金沢
KANBA	神庭
KANBARA	神原
KANBAYASHI	上林
KANBE	神戸
KANBEE	勘兵衛
KANBI	寛美
KANDA	神田
KANDACHI	神立
KANDO	菅藤
KANEBAKO	金箱
KANEDA	兼田
KANEDAKA	金高
KANEHARA	金原
KANEHARU	兼春
KANEHIKO	鐘彦
KANEHIRA	兼平
KANEHIRO	兼弘
KANEKAWA	金川
KANEKI	金木
KANEKICHI	兼吉
KANEKO	兼古
KANEMAKI	金巻
KANEMARU	金丸
KANEMATSU	兼松
KANEMITSU	兼光
KANEMOTO	金本
KANEMURA	金村
KANENARI	金成
KANENO	金野
KANENORI	兼典
KANEO	兼夫
KANESAKA	兼坂
KANESAKI	金崎
KANESASHI	金刺
KANESHIGE	金重
KANESHIMA	金島
KANETOSHI	兼敏
KANETSU	金津
KANETSUKA	金塚
KANETSUNA	金綱
KANEUCHI	金内
KANEYA	金谷
KANEYAMA	金山
KANEYASU	金安
KANEYOSHI	金義
KANEYUKI	金幸
KANEZASHI	金刺
KANG	康
KANGO	勘吾
KANGPING	康平
KANI	可児
KANIE	蟹江
KANITA	蟹田
KANJI	勘治
KANJU	完寿
KANKE	菅家
KANKI	神吉
KANNA	柑奈
KANNARI	神成
KANNO	管野
KANO	加納
KANOCHI	叶内
KANOKO	佳乃子
KANOSE	鹿瀬
KANOYA	鹿屋
KANRA	甘楽
KANSAKU	神作
KANTA	寛太
KANTARO	勘太郎
KANTO	関東
KANUMA	鹿沼
KANZAKI	神埼
KANZAN	寒山
KANZO	勘蔵
KAO	佳緒
KAOHSIUNG	高雄
KAOKO	香子
KAORI	佳央理
KAORU	彪
KAORUKO	薫子
KARAHASHI	唐橋
KARAKAMA	唐鎌
KARAKAWA	唐川
KARAKI	唐木
KARAKIDA	唐木田
KARAMATSU	唐松
KARASAWA	唐沢
KARASHIMA	辛島
KARASUYAMA	烏山
KARATANI	柄谷
KARATSU	唐津
KARAYA	柄谷
KARIBE	刈部
KARINA	香利奈
KARINO	狩野
KARITA	刈田
KARIYA	仮屋
KARUBE	軽部
KARUIZAWA	軽井沢
KARUMAI	軽米
KASAGAWA	笠川
KASAGI	笠木
KASAHARA	笠原
KASAI	加西
KASAJIMA	笠島
KASAKAKE	笠懸
KASAKI	笠木
KASAKURA	笠倉
KASAMA	笠間
KASAMATSU	笠松
KASANO	笠野
KASAOKA	笠岡
KASATANI	笠谷
KASE	加瀬
KASEDA	加世田
KASEYA	加瀬谷
KASHIBA	香芝
KASHIHARA	柏原
KASHIMA	加島
KASHIMADA	鹿島田
KASHIMADAI	鹿島台
KASHIMOTO	樫本
KASHIMURA	柏村
KASHINO	樫野
KASHIWA	柏
KASHIWABA	柏葉
KASHIWADA	柏田
KASHIWAGI	柏木
KASHIWAI	柏井
KASHIWAKUMA	柏熊
KASHIWAKURA	柏倉
KASHIWAMURA	柏村
KASHIWARA	柏原
KASHIWASE	柏瀬
KASHIWATANI	柏谷
KASHIWAYA	柏谷
KASHIWAZAKI	柏崎
KASHIYAMA	樫山
KASORI	加曽利
KASUGA	春日
KASUGAI	春日井
KASUKABE	春日部
KASUKAWA	粕川
KASUMI	佳澄
KASUYA	粕屋
KATA	加田
KATABAMI	方波見
KATABUCHI	片淵
KATADA	堅田
KATAGAI	片貝
KATAGAMI	片上
KATAGIRI	片桐
KATAGISHI	片岸
KATAHIRA	片平
KATAI	片井
KATAKURA	片倉
KATAMOTO	片本
KATANE	片根
KATANIWA	片庭
KATANO	交野
KATAOKA	片岡
KATASE	片瀬
KATAYAMA	形山
KATAYANAGI	片柳
KATAYORI	片寄
KATO	加登
KATOGI	加藤木
KATORI	香取
KATSU	勝
KATSUAKI	克明
KATSUBE	勝部
KATSUE	克恵
KATSUHARA	勝原
KATSUHARU	克春
KATSUHATA	勝旗
KATSUHIDE	克秀
KATSUHIKO	克彦
KATSUHIRO	克博
KATSUHISA	克久
KATSUHITO	勝人
KATSUI	勝井
KATSUICHI	克一
KATSUJI	克二
KATSUJIRO	勝次郎
KATSUKAWA	勝川
KATSUKI	克喜
KATSUKO	佳津子
KATSUKURA	勝倉
KATSUMA	勝間
KATSUMASA	克昌
KATSUMATA	勝亦
KATSUME	勝目
KATSUMI	佳津美
KATSUMORI	勝盛
KATSUMOTO	勝元
KATSUMURA	勝村
KATSUNARI	勝也
KATSUNO	勝野
KATSUNOBU	勝伸
KATSUNORI	克典
KATSUNOSHIN	勝之進
KATSUNOSUKE	勝之助
KATSUNUMA	勝沼
KATSUO	克夫
KATSUOGI	鰹木
KATSURA	勝浦
KATSURADA	桂田
KATSURAGAWA	桂川
KATSURAGI	桂木
KATSURAKO	桂子
KATSURAYAMA	葛山
KATSURO	克朗
KATSUSABURO	勝三朗
KATSUSAWA	勝沢
KATSUSHI	克史
KATSUSHIGE	勝重
KATSUSHIKA	葛飾
KATSUSHIMA	勝島
KATSUSHIRO	勝四郎
KATSUSUKE	勝亮
KATSUTA	勝田
KATSUTAKA	勝孝
KATSUTANI	勝谷
KATSUTARO	勝太郎
KATSUTO	克人
KATSUTOSHI	克俊
KATSUYA	克也
KATSUYAMA	勝山
KATSUYASU	勝康
KATSUYO	克代
KATSUYOSHI	克吉
KATSUYUKI	克之
KATSUZO	克三
KAWA	川
KAWABATA	川畑
KAWABE	川辺
KAWABUCHI	川淵
KAWACHI	川地
KAWACHINAGANO	河内長野
KAWADA	川田
KAWADE	川出
KAWAGISHI	川岸
KAWAGOE	川越
KAWAGUCHI	川口
KAWAGUCHIKO	河口湖
KAWAHARA	川原
KAWAHARADA	河原田
KAWAHASHI	川橋
KAWAHATA	川畑
KAWAHIGASHI	川東
KAWAHIRA	川平
KAWAI	川井
KAWAIDE	川出
KAWAJI	川路
KAWAJIMA	川島
KAWAJIRI	川尻
KAWAKAMI	川上
KAWAKATSU	川勝
KAWAKITA	川北
KAWAKUBO	川久保
KAWAMATA	川俣
KAWAMATSU	川松
KAWAMI	川見
KAWAMINAMI	河南
KAWAMORI	川森
KAWAMORITA	川守田
KAWAMOTO	川元
KAWAMUKI	川向
KAWAMURA	川村
KAWANA	川名
KAWANABE	川鍋
KAWANAKA	川中
KAWANAMI	川波
KAWANISHI	川西
KAWANO	川野
KAWANOBE	川野辺
KAWANOE	川之江
KAWAOKA	川岡
KAWARA	香春
KAWARADA	川原田
KAWARAI	河原井
KAWARAZAKI	河原崎
KAWASAKI	川崎
KAWASATO	川里
KAWASE	川瀬
KAWASHIMA	川島
KAWASHITA	川下
KAWASOE	川副
KAWASUMI	川住
KAWATANI	川谷
KAWATE	川手
KAWATO	川人
KAWAUCHI	川内
KAWAURA	川浦
KAWAWA	川和
KAWAWADA	川和田
KAWAYA	川谷
KAWAZOE	川副
KAWAZU	川津
KAWAZURA	川面
KAYA	佳也
KAYABA	榧場
KAYAKO	佳也子
KAYAMA	加山
KAYAMORI	萱森
KAYANO	茅野
KAYANUMA	萱沼
KAYASHIMA	茅島
KAYO	佳世
KAYOKO	佳与子
KAYOMI	佳代美
KAZA	風
KAZAMA	風間
KAZAMATSURI	風祭
KAZAMI	風見
KAZAOKA	風岡
KAZATO	風戸
KAZAWA	賀沢
KAZO	加須
KAZU	和
KAZUAKI	一彰
KAZUCHIKA	一親
KAZUE	一恵
KAZUEI	一栄
KAZUFUMI	一文
KAZUHARU	一春
KAZUHEI	和平
KAZUHIDE	一秀
KAZUHIKO	一彦
KAZUHIRA	一平
KAZUHIRO	一博
KAZUHISA	一久
KAZUHITO	一人
KAZUHO	一歩
KAZUICHI	一一
KAZUJI	一二
KAZUKI	一喜
KAZUKIYO	一清
KAZUKO	一子
KAZUMA	一真
KAZUMASA	一将
KAZUMI	一三
KAZUMICHI	一路
KAZUMITSU	一光
KAZUMORI	一守
KAZUNARI	一也
KAZUNE	和音
KAZUNO	数野
KAZUNOBU	一伸
KAZUNORI	一典
KAZUO	一夫
KAZUOMI	一臣
KAZURO	和郎
KAZUSA	加津佐
KAZUSHI	一司
KAZUSHIGE	一成
KAZUTAKA	一孝
KAZUTAMI	一民
KAZUTERU	一輝
KAZUTO	一人
KAZUTOMI	万富
KAZUTOMO	一智
KAZUTOSHI	一俊
KAZUTOYO	一豊
KAZUTSUGU	一継
KAZUYA	一也
KAZUYO	一世
KAZUYORI	和頼
KAZUYOSHI	一吉
KAZUYUKI	一之
KEBUKAWA	癸生川
KEI	佳
KEIDA	慶田
KEIGO	啓五
KEIHACHI	敬八
KEIHO	啓輔
KEIICHI	啓一
KEIICHIRO	啓一郎
KEIJI	啓之
KEIJIRO	啓二朗
KEIJU	圭樹
KEIKI	慶喜
KEIKICHI	啓吉
KEIKO	佳子
KEINO	慶野
KEINOSUKE	圭之助
KEIRA	計良
KEIREI	恵玲
KEISAKU	啓作
KEISEN	桂川
KEISHI	啓之
KEISHIRO	慶四郎
KEISUKE	佳介
KEITA	啓太
KEITARO	啓太朗
KEIYA	佳哉
KEIZABURO	啓三郎
KEIZO	啓三
KEMUYAMA	煙山
KEN	健
KEN'ICHI	健一
KEN'ICHIRO	健一朗
KEN'YA	健也
KENGO	健吾
KENJI	健之
KENJIRO	健二郎
KENJU	憲寿
KENKICHI	健吉
KENMOCHI	剣持
KENMOKU	見目
KENNOSUKE	健之助
KENRO	健朗
KENSAKU	健作
KENSHI	健之
KENSHIN	健信
KENSUKE	健介
KENTA	健太
KENTARO	健太郎
KENTO	賢人
KENZABURO	健三郎
KENZO	健三
KESAE	今朝恵
KESAJI	今朝治
KESAO	今朝夫
KESENNUMA	気仙沼
KESHI	芥子
KEZUKA	毛塚
KIBA	木場
KIBE	木部
KIBUNE	木船
KIBUSE	木伏
KICHIBEE	吉兵衛
KICHIGORO	吉五郎
KICHIJI	吉次
KICHIMATSU	吉松
KICHINOSUKE	吉之助
KICHIO	吉夫
KICHIRO	吉郎
KICHISE	吉瀬
KICHITARO	吉太郎
KICHIYA	吉弥
KICHIZO	吉蔵
KIDA	喜田
KIDACHI	木立
KIDERA	木寺
KIDO	城戸
KIDOGUCHI	木戸口
KIDOKORO	城所
KIE	喜恵
KIEKO	喜恵子
KIGA	木賀
KIGASAWA	気賀沢
KIGAWA	木川
KIGOSHI	木越
KIGUCHI	木口
KIGURE	木暮
KIHACHI	喜八
KIHACHIRO	喜八郎
KIHARA	木原
KIHATA	木幡
KIHEE	喜兵衛
KIHEI	喜兵衛
KIHEIJI	紀兵二
KIHIRA	紀平
KIICHI	喜一
KIICHIRO	喜一郎
KIJIMA	木島
KIKEGAWA	亀掛川
KIKO	紀子
KIKU	菊
KIKUCHI	菊地
KIKUCHIHARA	菊地原
KIKUE	喜久恵
KIKUHARA	菊原
KIKUHARU	菊春
KIKUI	菊井
KIKUIRI	菊入
KIKUJI	喜久治
KIKUJIRO	菊次郎
KIKUKA	菊鹿
KIKUKAWA	菊川
KIKUKO	喜久子
KIKUMA	菊間
KIKUMATSU	菊松
KIKUMI	喜久実
KIKUMOTO	菊本
KIKUNO	菊野
KIKUO	喜久夫
KIKUOKA	菊岡
KIKUSABURO	菊三朗
KIKUSHIMA	菊島
KIKUSUI	菊水
KIKUTA	菊田
KIKUTANI	菊谷
KIKUTARO	菊太郎
KIKUYA	菊谷
KIKUYAMA	菊山
KIKUYO	亀久代
KIKUZAWA	菊沢
KIKUZO	菊蔵
KIMA	木間
KIMATA	木俣
KIMI	君
KIMIAKI	公明
KIMIE	公恵
KIMIHIDE	公秀
KIMIHIKO	公彦
KIMIHIRO	公博
KIMIHISA	公久
KIMIHITO	公人
KIMIJIMA	君島
KIMIKA	君香
KIMIKAZU	公一
KIMIKICHI	君吉
KIMIKO	亀美子
KIMINARI	公成
KIMINOBU	公信
KIMINORI	公典
KIMIO	公夫
KIMITAKA	公孝
KIMITO	公人
KIMITOSHI	公俊
KIMITSU	君津
KIMIWADA	君和田
KIMIYA	公也
KIMIYASU	公康
KIMIYO	公代
KIMIYOSHI	公佳
KIMIZUKA	君塚
KIMORI	喜盛
KIMOTO	木元
KIMURA	木村
KIN	欣
KIN'ICHI	欣一
KIN'ICHIRO	欣一郎
KIN'YA	勤也
KINAI	箭内
KINAMI	木南
KINBARA	金原
KINDA	金田
KINEBUCHI	木根淵
KINEYA	杵屋
KINGO	欣吾
KINGORO	金五郎
KINJI	均治
KINJIRO	謹治郎
KINKO	欽子
KINNO	金野
KINNOSUKE	欽之助
KINO	木野
KINOCHI	木野内
KINOSHITA	木下
KINOSUKE	喜之助
KINPEI	金平
KINSABURO	金三郎
KINSAKU	金作
KINSHICHI	金七
KINSHIRO	金四郎
KINSUKE	金助
KINTARO	金太郎
KINU	絹
KINUE	絹恵
KINUGASA	衣笠
KINUGAWA	絹川
KINUKO	絹子
KINUYAMA	絹山
KINUYO	絹世
KINZABURO	金三郎
KINZO	金三
KIOKA	木岡
KIRA	吉良
KIRIE	希里江
KIRIHARA	桐原
KIRIKO	季理子
KIRINO	桐野
KIRISHIMA	桐島
KIRITA	桐田
KIRITANI	桐谷
KIRIYA	桐谷
KIRIYAMA	桐山
KIRO	喜郎
KIROKU	喜六
KIRYU	桐生
KISABURO	吉三郎
KISAE	季佐恵
KISAI	騎西
KISAKATA	象潟
KISAKU	喜作
KISANUKI	木佐貫
KISAO	喜三男
KISARA	木皿
KISARAGI	如月
KISARAZU	木更津
KISAWA	鬼沢
KISE	木瀬
KISEKO	貴世子
KISHI	岸
KISHIBE	岸部
KISHICHI	喜七
KISHICHIRO	喜七郎
KISHIDA	岸田
KISHIGAMI	岸上
KISHIHARA	岸原
KISHII	岸井
KISHIKAWA	岸川
KISHIKO	季史子
KISHIMA	貴島
KISHIMOTO	岸本
KISHINAMI	岸波
KISHINO	岸野
KISHIO	喜司夫
KISHIOKA	岸岡
KISHIRO	喜四郎
KISHISHITA	岸下
KISHIWADA	岸和田
KISO	木曽
KISOFUKUSHIMA	木曽福島
KISUKE	喜助
KITA	北
KITABAYASHI	北林
KITADA	北田
KITADATE	北舘
KITADE	北出
KITAGAKI	北垣
KITAGATA	北方
KITAGAWA	北川
KITAGISHI	北岸
KITAGO	北郷
KITAGUCHI	北口
KITAHAMA	北浜
KITAHARA	北原
KITAHATA	北畑
KITAHIROSHIMA	北広島
KITAHORI	北堀
KITAI	北井
KITAIBARAKI	北茨城
KITAIDE	北出
KITAIKE	北池
KITAIWAI	北祝
KITAJIMA	北島
KITAKA	橘高
KITAKAMI	北上
KITAKATA	北方
KITAKAWABE	北川辺
KITAKO	喜多子
KITAKUBO	北久保
KITAKYUSHU	北九州
KITAMI	北見
KITAMORI	北森
KITAMOTO	北本
KITAMURA	北村
KITANAKA	北中
KITANI	木谷
KITANISHI	北西
KITANO	北埜
KITAO	北尾
KITAOKA	北岡
KITARO	喜太郎
KITATANI	北谷
KITATSUME	北爪
KITAUCHI	北内
KITAUE	北上
KITAURA	北浦
KITAWAKI	北脇
KITAYA	北谷
KITAYAMA	北山
KITAZAKI	北崎
KITAZATO	北里
KITAZAWA	北沢
KITAZONO	北園
KITAZUME	北爪
KITO	木藤
KITSUDAKA	橘高
KITSUGI	木次
KITSUKI	杵築
KITSUNAI	橘内
KITSUREGAWA	喜連川
KITTA	橘田
KIUCHI	木内
KIURA	木浦
KIWA	喜和
KIWAKO	喜和子
KIWAMU	極
KIYA	木屋
KIYAMA	帰山
KIYASU	喜安
KIYO	喜世
KIYOAKI	清明
KIYODA	喜代田
KIYOE	季代恵
KIYOFUJI	清藤
KIYOFUMI	清文
KIYOHARA	清原
KIYOHARU	清春
KIYOHIDE	喜代秀
KIYOHIKO	喜代彦
KIYOHIRO	清宏
KIYOHISA	清久
KIYOHITO	清仁
KIYOJI	喜代二
KIYOKA	清岡
KIYOKATSU	清勝
KIYOKAWA	清川
KIYOKAZU	清一
KIYOKI	清貴
KIYOKO	喜世子
KIYOKUMA	清熊
KIYOMA	清磨
KIYOMASA	清昌
KIYOMATSU	喜代松
KIYOMI	公世美
KIYOMITSU	清光
KIYOMIYA	清宮
KIYOMOTO	清本
KIYONARI	清成
KIYONO	清野
KIYONOBU	喜代信
KIYONORI	清則
KIYOSAWA	清沢
KIYOSE	清瀬
KIYOSHI	亮
KIYOSHIGE	清茂
KIYOSHIMA	清嶋
KIYOSHIRO	清志郎
KIYOTA	清田
KIYOTAKA	喜代隆
KIYOTAKE	清武
KIYOTERU	清照
KIYOTO	清人
KIYOTOSHI	清俊
KIYOTSUGU	喜代継
KIYOTSUKA	清塚
KIYOYUKI	清之
KIYOZO	喜代造
KIZAKI	木崎
KIZASHI	萌
KIZAWA	木沢
KIZO	喜蔵
KIZU	木津
KIZUKA	木塚
KIZUKURI	木造
KO	光
KOAMI	小網
KOANA	小穴
KOBA	木場
KOBARI	小針
KOBASHI	小橋
KOBAYAKAWA	小早川
KOBAYASHI	古林
KOBE	神戸
KOBI	小尾
KOBINATA	小日向
KOBITSU	小櫃
KOBORI	小堀
KOBUNA	小鮒
KOBUNE	小船
KOCHI	小内
KODA	古宇田
KODACHI	小太刀
KODAIRA	小平
KODAKA	小高
KODAMA	児玉
KODATE	小舘
KODERA	古寺
KODO	古藤
KOEDA	小枝
KOEI	幸衛
KOENUMA	肥沼
KOETSU	光悦
KOFU	甲府
KOFUJI	小藤
KOGA	古河
KOGAI	小貝
KOGANEI	小金井
KOGANEZAWA	小金沢
KOGATA	小方
KOGAWA	古川
KOGI	小木
KOGISO	小木曽
KOGO	向後
KOGOSHI	小越
KOGUCHI	古口
KOGURE	小暮
KOGUSURI	小薬
KOHACHI	幸八
KOHAMA	小浜
KOHARI	小張
KOHARU	小春
KOHASE	小長谷
KOHASHI	小橋
KOHEI	光平
KOHIGASHI	小東
KOHINATA	小日向
KOHIRA	古平
KOHIYAMA	小桧山
KOIBUCHI	鯉淵
KOICHI	光一
KOICHIRO	光一郎
KOIDE	小出
KOIDO	小井土
KOIKE	古池
KOIKO	恋子
KOINOSUKE	鯉之助
KOINUMA	鯉沼
KOISHI	小石
KOISHIKAWA	小石川
KOISO	小磯
KOITABASHI	小板橋
KOITO	小糸
KOIWA	小岩
KOIWAI	小岩井
KOIZUMI	古泉
KOJI	光二
KOJIKA	小鹿
KOJIMA	児島
KOJIRO	光次郎
KOJUN	孝順
KOKABU	古株
KOKABUTO	小甲
KOKAI	小海
KOKAJI	小梶
KOKAN	古閑
KOKATA	国府方
KOKATSU	小勝
KOKAWA	古川
KOKETSU	纐纈
KOKI	光喜
KOKICHI	好吉
KOKO	公子
KOKONOE	九重
KOKORO	心
KOKUBO	小久保
KOKUBU	国分
KOKUBUNJI	国分寺
KOKUFU	国府
KOKUHO	国保
KOKUNI	小国
KOKURAKITA	小倉北
KOKURAMINAMI	小倉南
KOMA	小間
KOMABA	駒場
KOMACHI	小町
KOMADA	駒田
KOMAE	狛江
KOMAGATA	駒形
KOMAI	駒井
KOMAKI	小牧
KOMAKINE	駒木根
KOMAMIYA	駒宮
KOMAMURA	駒村
KOMANO	駒野
KOMATA	古俣
KOMATANI	駒谷
KOMATSU	小松
KOMATSUBARA	小松原
KOMATSUDA	小松田
KOMATSUSHIMA	小松島
KOMATSUZAKI	小松崎
KOMAYA	駒谷
KOMAZAKI	駒崎
KOMAZAWA	駒沢
KOMECHI	古明地
KOMEHANA	米花
KOMEI	孔明
KOMEOKA	米岡
KOMETA	米田
KOMETANI	米谷
KOMEZAKI	米崎
KOMI	小見
KOMINAMI	小南
KOMINATO	小湊
KOMINE	小峰
KOMINO	小美濃
KOMITO	小見戸
KOMIYA	古宮
KOMIYAMA	小宮山
KOMODA	菰田
KOMOIKE	菰池
KOMORI	古森
KOMORITANI	小森谷
KOMORIYA	小森谷
KOMORO	小師
KOMOTA	小茂田
KOMUKAI	小向
KOMURA	古村
KOMURO	古室
KON	今
KON'YA	紺谷
KONAGAI	小長井
KONAGAYA	小長谷
KONAKA	小中
KONAKAWA	粉川
KONAMI	小南
KONAN	江南
KONATSU	小夏
KONDA	根田
KONDO	近藤
KONISHI	古西
KONITA	小荷田
KONNAI	近内
KONNO	今野
KONO	幸野
KONOHANA	此花
KONOIKE	鴻池
KONOMI	好
KONOSU	鴻巣
KONOSUKE	光之助
KONOURA	金浦
KONPIRA	金比羅
KONSHIRO	今四郎
KONTANI	紺谷
KONUMA	小沼
KORA	小浦
KOREEDA	是枝
KOREKIYO	是清
KORENAGA	是永
KORESAWA	是澤
KORI	桑折
KORIYAMA	郡山
KOSA	甲佐
KOSABURO	幸三郎
KOSAI	湖西
KOSAKA	小坂
KOSAKAI	小坂井
KOSAKI	小崎
KOSAKU	光作
KOSE	古瀬
KOSEI	公生
KOSEKI	古関
KOSHI	合志
KOSHIBA	小柴
KOSHIDA	越田
KOSHIDAKA	腰高
KOSHIGAYA	越谷
KOSHIGOE	腰越
KOSHIHARA	腰原
KOSHIISHI	越石
KOSHIJI	越路
KOSHIKAWA	越川
KOSHIMIZU	小清水
KOSHIMOTO	越本
KOSHIMURA	越村
KOSHINAKA	越中
KOSHINO	越野
KOSHINUMA	越沼
KOSHIO	小塩
KOSHIRO	小四郎
KOSHITSUKA	腰塚
KOSHIYAMA	越山
KOSHIZUKA	腰塚
KOSHO	公章
KOSHOKU	更埴
KOSONE	小曽根
KOSONO	小園
KOSUDA	小須田
KOSUDO	小須戸
KOSUGA	小菅
KOSUGE	小管
KOSUGI	小杉
KOSUKE	光助
KOSUKEGAWA	小助川
KOTA	光太
KOTABE	小田部
KOTACHI	小太刀
KOTADO	古田土
KOTAJIMA	古田島
KOTAKA	小鷹
KOTAKE	小竹
KOTAKI	小滝
KOTANI	小谷
KOTARO	光太郎
KOTEGAWA	古手川
KOTO	古藤
KOTOE	琴恵
KOTOHARU	士美
KOTOKA	琴丘
KOTOKO	琴子
KOTOKU	光徳
KOTOMI	古都美
KOTONO	琴乃
KOTOYO	琴世
KOTSUKI	高月
KOUMI	小海
KOWADA	小和田
KOWASHI	毅
KOWATA	木幡
KOWATARI	古渡
