אבא	abba
ליסיצקי	lissitzky
ליסלי	leslie
ליסנר	lesnar
ליסקוט	lescott
ליף	leif
ליפא	lipa
ליפאין	lepine
ליפומא	lipoma
ליפטין	leptin
ליפי	lippi
ליפיליר	lepiller
ליפמאן	lipmann
ליפסטדאט	lipstadt
ליפשיץ	lipchitz
ליצמאן	litzman
ליקא	licka
ליקו	leko
ליקונא	lecuona
ליקנז	leekens
ליר	lear
לירד	laird
לירו	leroux
לירוי	leroy
לירונד	lerond
לירטיוס	laertius
ליתואיניה	lithuania
לך	lech
לם	lem
למאסון	lemasson
למיאגרי	lamyaghri
לן	len
לנב	lenev
לנגה	lengeh
לנגלן	lenglen
לנון	lennon
לני	lenny
לס	les
לסניאק	lesniak
לערוי	laroui
לערפאוי	larfaoui
לפיד	lapid
לרבי	lerby
לרדורף	lerdorf
לרמנטוב	lermontov
מאברוס	mavros
מאג'וריל	majorelle
מאג'יסטר	magister
מאג'יק	magic
מאג'ר	madjer
מאגאלהאיז	magalhaes
מאגאת	magath
מאגדה	magda
מאגדיבורג	magdeburg
מאגואיר	maguire
מאגומידוב	magomedov
מאגי	maggie
מאגלאן	magellan
מאגנו	magno
מאגנוס	magnus
מאגנין	magnin
מאגרב	maghreb
מאדאלינא	maddalena
מאדהיא	madhya
מאדונא	madonna
מאדונו	madono
מאדיסן	madison
מאדירא	madeira
מאדירנו	maderno
מאדלונג	madelung
מאדלין	madeleine
מאדסן	madsen
מאדרוצו	madruzzo
מאהאליא	mahalia
מאהאראשטרא	maharashtra
מאהוט	mahut
מאהיאדי	mahyadi
מאהלר	mahler
מאהר	maher
מאהש	mahesh
מאו	mao
מאוס	mauss
מאורו	mauro
מאזארין	mazarin
מאזאריק	masaryk
מאזדא	mazda
מאזוז	mazuz
מאזוט	mazut
מאזויקי	mazowiecki
מאזינהו	mazinho
מאזיק	maziq
מאט	matt
מאטאדי	matadi
מאטאו	matteo
מאטאוס	matthaus
מאטביינקו	matviyenko
מאטו	mato
מאטובינוביטש	matovinovic
מאטוס	matus
מאטיאס	matthias
מאטיו	mathieu
מאטיובסקי	matejovsky
מאטיוט	mateut
מאטילדא	matilda
מאטילדי	matilde
מאטיס	matisse
מאטיראצי	materazzi
מאטלין	matlin
מאטס	mats
מאטסוזאוא	matsuzawa
מאטסוי	matsui
מאטסומוטו	matsumoto
מאטסוקא	matsuoka
מאטסוקאטא	matsukata
מאטסושיטא	matsushita
מאטסקאזי	matsukaze
מאטראי	matrai
מאטרלינק	maeterlinck
מאי	mai
מאיא	maaya
מאיאמי	miami
מאיאקובסקי	mayakovsky
מאיגא	maiga
מאידא	maeda
מאיול	maillol
מאיומי	mayumi
מאיורקא	majorca
מאילארט	maillart
מאילו	milo
מאילז	miles
מאילי	miley
מאימון	maimon
מאיסטרוביטש	majstorovic
מאיספייס	myspace
מאיק	mike
מאיקי	mikey
מאיקל	michael
מאיקלאנג'ילו	michelangelo
מאיקלז	michaels
מאיקרוסופט	microsoft
מאירא	myra
מאלאגא	malaga
מאלאטיסטא	malatesta
מאלאקוטי	malakouti
מאלארין	malaren
מאלבראנק	malbranque
מאלדאיבז	maldives
מאלדונאדו	maldonado
מאלדיני	maldini
מאלדירא	maldera
מאלו	malot
מאלודא	malouda
מאלון	malone
מאלוני	maloney
מאלטא	malta
מאלטיז	maltese
מאלי	mali
מאליא	mallya
מאליבאי	malivai
מאליביטש	malevich
מאלייז'א	malaysia
מאלין	malin
מאליסה	malisse
מאלכאז	malkhaz
מאלמו	malmo
מאלק	malek
מאלקו	malko
מאלקולם	malcolm
מאלקין	malkin
מאמאדו	mamadou
מאמאדי	mamady
מאמו	mamo
מאמורו	mamoru
מאמט	mamet
מאמי	mami
מאמידאלי	mammedaly
מאמיקו	mamiko
מאנאגוא	managua
מאנגה	manga
מאנגנאל	mangnall
מאנדא	manda
מאנדאלא	mandala
מאנדאנדא	mandanda
מאנדולא	mandola
מאנדי	mandy
מאנדל	mundell
מאנדריבא	mandriva
מאנה	manet
מאנהאטן	manhattan
מאנהאים	mannheim
מאנו	manu
מאנואלא	manuela
מאנויל	manuel
מאנוליטי	manolete
מאנזוני	manzoni
מאנטל	mantell
מאניטובא	manitoba
מאניירו	maneiro
מאנין	mannin
מאנינג	manning
מאנינגר	manninger
מאניע	manea
מאניפיקאט	magnificat
מאנמוהאן	manmohan
מאנסארי	mansare
מאנסון	manson
מאנספילד	mansfield
מאנפרד	manfred
מאנפרידוניא	manfredonia
מאנשיני	mancini
מאסא	massa
מאסאהירו	masahiro
מאסאוע	massawa
מאסאיא	masaya
מאסאיושי	masayoshi
מאסאמאסו	massamasso
מאסאמי	masami
מאסאצ'ו	masaccio
מאסאקאזו	masakazu
מאסאקו	masako
מאסאקי	masaaki
מאסאקיו	masakiyo
מאסארו	masaru
מאסאשי	masashi
מאסודא	masuda
מאסופסט	masopust
מאסטריכט	maastricht
מאסי	massi
מאסיאס	macias
מאסיג'	maciej
מאסיו	maceio
מאסילילא	masilela
מאסימו	massimo
מאסינג	masing
מאסינגא	masinga
מאסלאצ'נקו	maslachenko
מאסלו	maslow
מאסליונקן	maslyonkin
מאסני	masny
מאסקאוא	maskawa
מאסקיראנו	mascherano
מאצ'אלא	macala
מאצ'לאס	machlas
מאצולא	mazzola
מאק	mack
מאקאו	macau
מאקאנגא	macanga
מאקאסא	makasa
מאקאסאר	makassar
מאקאפא	macapa
מאקארתר	macarthur
מאקבראיד	macbride
מאקגינס	mcguinness
מאקגראו	mcgraw
מאקדאול	macdowell
מאקדונאלד	macdonald
מאקדירמיד	macdiarmid
מאקובי	maccoby
מאקוטו	makoto
מאקון	makoun
מאקונאהי	mcconaughey
מאקונין	makonnen
מאקורמיק	mccormick
מאקי	maki
מאקיללי	makelele
מאקינדו	mcindoe
מאקינוא	makinwa
מאקינון	mackinnon
מאקלארין	mclaren
מאקליין	maclaine
מאקמאנאמאן	mcmanaman
מאקמילאן	mcmillan
מאקנאב	mcnab
מאקנרו	mcenroe
מאקס	max
מאקסויל	maxwell
מאקסי	maxi
מאקסים	maksim
מאקסימיליאן	maximilian
מאקסמליאן	maximilien
מאקספילד	maxfield
מאקפאדין	macfadyen
מאקקוין	mcqueen
מאקקינא	mckenna
מאר	mahr
מאראט	marat
מאראנהאו	maranhao
מאראתון	marathon
מארבורי	marbury
מארגרט	margarete
מארגריט	margaret
מארגריטא	margherita
מארדי	mardy
מארוא	marois
מארוין	marvin
מארולאנדא	marulanda
מארון	maroun
מארוק	maroc
מארזל	marzel
מארט	mart
מארטא	marta
מארטוב	martov
מארטי	marti
מארטילי	martelli
מארטין	martien
מארטינא	martina
מארטינז	martins
מארטינילי	martinelli
מארטצ'לו	marcelo
מארי	marie
מאריא	maria
מאריאן	marianne
מאריאנא	mariana
מאריאנו	mariano
מאריאס	marias
מאריו	mario
מאריוט	mariot
מאריון	marion
מאריוס	mariusz
מאריופול	mariupol
מארייט	mariette
מארילאנד	maryland
מארילין	marilyn
מארין	marin
מארינא	marina
מארינו	marino
מאריניטי	marinetti
מארינר	mariner
מאריס	maris
מאריסא	marisa
מאריסקא	maresca
מאריקא	marica
מארלון	marlon
מארלי	marley
מארלין	marlene
מארמאדוק	marmaduke
מארמאריס	marmaris
מארסדן	marsden
מארסיא	marcia
מארסיאנו	marciano
מארסיל	marcell
מארסל	marcel
מארצ'ינא	marchena
מארצ'לו	marcello
מארצן	marcin
מארק	mark
מארקו	marko
מארקוב	markov
מארקומאני	marcomanni
מארקוני	marconi
מארקוס	markus
מארקיאן	marcian
מארקיז	marquez
מארקיטא	marketa
מארקיטו	marchetto
מארקיס	marques
מארקס	marks
מארשאל	marshall
מארתא	martha
מאשיגו	mashego
מאשין	machine
מאתיו	matthew
מאתיסן	mathijsen
מבאבאן	mbabane
מבאמבא	mbamba
מבו	mbo
מבויאן	mbuyane
מבומא	mboma
מביא	mbia
מבידא	mbida
מברוק	mabrouk
מג'אלבי	mjallby
מג'ד	majed
מג'די	majdi
מג'וס	majus
מג'לי	majalli
מגא	mega
מגדי	magdi
מגוג	magog
מגיד	magid
מגן	magen
מגני	meghni
מדאח	maddah
מדאם	madame
מדוור	medawar
מדלידלי	mdledle
מדני	madani
מדריד	madrid
מדרסה	madrasah
מהאבהאראטא	mahabharata
מהדאוויקיא	mahdavikia
מהדי	mahdi
מהלונגו	mhlongo
מהראן	mehran
מהרדאד	mehrdad
מהרזאד	mehrzad
מהרי	mehri
מואז'ן	maozhen
מואי	mwai
מואנזא	mwanza
מוארווארי	mwaruwari
מובארק	mubarek
מובוטו	mobutu
מובי	moby
מוביוס	mobius
מובלי	mobley
מובעלי	mobali
מוג'יטש	mujic
מוגאבי	mugabe
מוגיהיטו	mugihito
מוגרבי	mughrabi
מוד	maud
מודאר	mudar
מודג'י	moggi
מודו	modou
מודי	modi
מודיבו	modibo
מודיליאני	modigliani
מודינגאי	mudingayi
מודיסטי	modeste
מודיסי	modise
מודירי	modiri
מודנה	modena
מודר	moder
מודריטש	modric
מודריק	mudrik
מוהאג'ראני	mohajerani
מוהרן	muhren
מוזאמביק	mozambique
מוזיניטש	muzinic
מוזלי	moseley
מוזפר	mudhafar
מוחארם	muharram
מוחטאר	mokhtar
מוחייסן	mohaisen
מוחמד	mohammad
מוחסן	mohsen
מוטאל	mutal
מוטאקי	mottaki
מוטארילי	mutarelli
מוטו	mutu
מוטויאמא	motoyama
מוטוקו	motoko
מוטי	motti
מוטיו	mutiu
מוטינהו	moutinho
מוטסטיג	meutstege
מוטעב	moteab
מוטראם	mottram
מוטראן	motran
מויא	moya
מויזאן	moizan
מויני	mweene
מויניט	mouynet
מויסיו	moisiu
מויר	muir
מולא	molla
מולאן	mulan
מולבי	molby
מולדובא	moldova
מולדובאן	moldovan
מולוד	mouloud
מולטאטולי	multatuli
מולטקה	moltke
מוליגאן	mulligan
מולייר	moliere
מולימאן	mollemann
מולינא	molina
מולינגא	mulenga
מוליס	mullis
מולנאר	molnar
מולר	muller
מומבאי	mumbai
מומבאסא	mombasa
מומו	mommu
מומוני	moumouni
מומטאז	mumtaz
מומנז	mommens
מומסילו	momcilo
מומסן	mommsen
מונא	mona
מונאגאן	monaghan
מונאקו	monaco
מונארון	munaron
מונג	monge
מונגי	mongi
מונד	monde
מונדריאן	mondrian
מונוז	munoz
מונונוק	mononoke
מונזא	monza
מונזינגר	munzinger
מונטאלי	montale
מונטאנא	montana
מונטאנייה	montagnier
מונטגומרי	montgomery
מונטי	monty
מונטיאן	muntyan
מונטיבידיו	montevideo
מונטיבירדי	monteverdi
מונטיז	montez
מונטינו	munteanu
מונטיניגרו	montenegro
מונטירו	monteiro
מונטירוסו	monterroso
מונטיריי	monterrey
מונטמארטר	montmartre
מוניב	moeneeb
מוניו	moneo
מוניז	moniz
מוניקא	monica
מוניר	mounier
מונסטר	munster
מונסף	monsef
מונפארנאס	montparnasse
מונפילייה	montpellier
מונפיס	monfils
מונקאיו	moncayo
מונרו	munro
מונרוביא	monrovia
מונתסר	muntasser
מוס	moss
מוסאדק	mosaddeq
מוסאמפא	musampa
מוסאעד	musaed
מוסו	musso
מוסוליני	mussolini
מוסטאקי	moustaki
מוסטגאנמי	mosteghanemi
מוסטובוי	mostovoi
מוסטפא	mustafa
מוסימיטש	musemic
מוסיסילי	mosisili
מוסלים	muslim
מוסלין	muslin
מוסלם	moslem
מוסעב	mosab
מוסקאט	muscat
מוסקוסו	moscoso
מועאת	mouath
מועואד	moawad
מועין	muin
מועמר	muammar
מוצ'יזוקי	mochizuki
מוצארט	mozart
מוקדאד	mokdad
מוקוינא	mokoena
מוקטיזומא	moctezuma
מוקייזי	mukasey
מוקרג'י	mukerji
מור	moore
מורא	maura
מוראביא	moravia
מוראבצ'יק	moravcik
מוראט	murat
מוראטי	moratti
מוראיאמא	murayama
מוראליס	morales
מוראן	moran
מוראנדי	morandi
מוראנו	murano
מוראקאמי	murakami
מורארו	moraru
מורג'יין	morjane
מורגן	morgan
מורגנסטירן	morgenstern
מורגנר	morgner
מורדוק	murdoch
מורדור	mordor
מורדכי	mordechai
מורו	moro
מורוזוב	morozov
מורוזיביטש	morozevich
מורוי	mauroy
מורטאז	murtaz
מורטאלא	murtala
מורטן	morton
מורי	mori
מוריאל	muriel
מוריאנטס	morientes
מוריאק	mauriac
מוריהיי	morihei
מוריהירו	morihiro
מוריזיו	maurizio
מוריטא	morita
מוריטי	moretti
מוריטייניא	mauritania
מוריל	morell
מורילו	morello
מורין	morin
מורינהו	mourinho
מורינו	moreno
מוריני	morini
מוריסון	morrison
מוריסיו	mauricio
מוריסיט	morissette
מוריסמו	mauresmo
מוריקאוא	morikawa
מוריקוני	morricone
מורירי	moriri
מורישימא	morishima
מורל	morrell
מורלי	morley
מורן	muren
מורס	morse
מורסאל	mursal
מורפי	morphy
מורקוט	murcutt
מורר	maurer
מושארף	musharraf
מושב	moshav
מושיו	moshoeu
מזאר	mazar
מזהר	mazhar
מזלום	mazloum
מזרחי	mizrahi
מחל	mahal
מחמד	mehmed
מחמדו	mahamadou
מחמוד	mahmud
מחמודי	mahmudi
מחמט	mehmet
מחפוד	mahfoud
מחפוז	mahfouz
מחרוס	mahrous
מחתופי	mahdoufi
מט	mt
מטאוע	mattawa
מטוואלי	metwalli
מטר	matar
מטרופוליטאנא	metropolitana
מי	mee
מיא	mia
מיאזאוא	miyazawa
מיאזאקי	miyazaki
מיאטא	miyata
מיאמוטו	miyamoto
מיאנו	miyano
מיאנמאר	myanmar
מיאצא	meazza
מיאקי	miyake
מיבו	mevo
מיג	meg
מיגאבאיט	megabyte
מיגאלודון	megalodon
מיגוילי	migueli
מיגל	miguel
מיגליורי	migliore
מיגלית	megalith
מיגרון	migron
מידאן	medan
מידאני	meidani
מידבידיב	medvedev
מידורי	midori
מידוריקאוא	midorikawa
מידזוגורנו	mezzogiorno
מידילין	medellin
מידלטון	middleton
מידלר	midler
מידנדורף	middendorf
מיהאי	mihai
מיהאיל	mihail
מיהאילוביטש	mihajlovic
מיהאלי	mihaly
מיהובי	mihoubi
מיו	miyu
מיוג'ן	myojin
מיודראג	miodrag
מיוניך	munich
מיוצ'י	meucci
מיוקי	miyuki
מיורא	miura
מיזונו	mizuno
מיזוקי	mizuki
מיזוראם	mizoram
מיזורי	missouri
מיזושימא	mizushima
מיזי	mezey
מיט	mit
מיטאל	mittal
מיטאליקא	metallica
מיטאני	mitanni
מיטגוד	metgod
מיטומו	mettomo
מיטוראי	mitoraj
מיטיטש	mitic
מיטילין	mytilene
מיטן	metin
מיטניק	mitnick
מיטסו	mitsuo
מיטסואקי	mitsuaki
מיטסומאסא	mitsumasa
מיטסומוני	mitsumune
מיטסקי	mitsuki
מיטריבילי	metreveli
מיטש	mitch
מיטשירו	michiru
מיטשל	mitchel
מיי	mey
מייבאך	maybach
מייג'י	meiji
מייגו'ר	major
מייזונו	maezono
מיילט	maillet
מיין	mein
מיינוב	minobe
מיינז	mainz
מייניו	meynieu
מיכאיל	mikheil
מיכאליטשינקו	mykhaylychenko
מיכאליק	michalik
מיכיל	micheľ
מיל	mil
מילא	milla
מילאד	milad
מילאדינוביטש	miladinovic
מילאן	milan
מילאנו	milano
מילאני	melanie
מילאניזיא	melanesia
מילאניטש	miljanic
מילארד	millard
מילבא	milva
מילבורן	milburn
מילביל	melville
מילג'ונא	miljoona
מילדריד	mildred
מילו	melo
מילוד	miloud
מילוטין	milutin
מילורא	melora
מילוראד	milorad
מילוש	milosz
מילט	milt
מילטון	milton
מילי	mili
מיליאן	miljan
מיליבא	mileva
מיליבאנד	miliband
מיליגאן	milligan
מיליטו	milito
מיליטון	meliton
מיליס	meles
מיליצ'יפ	millichip
מיליקאמפס	millecamps
מילנקו	milenko
מילנר	milner
מילסום	milsom
מילפומיני	melpomene
מילפורד	milford
מילקא	milka
מילר	meller
מימונה	mimouna
מימוני	mimouni
מימי	mimi
מימירנג	memering
מין	minh
מינא	mina
מינאואנד	minavand
מינאמבריס	minambres
מינאמוטו	minamoto
מינאמי	minami
מינאסה	menasse
מינג	ming
מינגי	mingyi
מינגיו	mingyu
מינדיז	mendez
מינדיס	mendes
מינו	meeno
מינונגו	minoungou
מינור	minor
מינורו	minoru
מינורקא	minorca
מינטאל	mental
מינטוף	mintoff
מיניונא	mignogna
מינינדיז	menendez
מיניסוטא	minnesota
מיניקס	minix
מינסאה	mensah
מינסק	minsk
מינץ	mintz
מינקובסקי	minkowski
מינרבא	minerva
מיסאוי	missaoui
מיסוט	mesut
מיסטר	mr.
מיסטראל	mistral
מיסיסוגא	mississauga
מיסיסיפי	mississippi
מיסכי	meskhi
מיסן	meissen
מיסקיטו	miskito
מיסקינא	myskina
מיצ'יאר	meciar
מיצ'יהירו	michihiro
מיק	mick
מיקא	mika
מיקאטי	mikati
מיקאיל	mikael
מיקאל	michal
מיקאליס	michalis
מיקה	micah
מיקהיו	mchugh
מיקו	micoud
מיקויאן	mikoyan
מיקולאיב	mykolaiv
מיקולאס	mikulas
מיקונוס	mykonos
מיקי	micky
מיקיו	mikio
מיקימוטו	mikimoto
מיקיס	mikis
מיקל	mikkel
מיקלוס	miklos
מיקרומטר	micrometre
מיראלם	miralem
מיראן	miran
מיראנדא	miranda
מירבו	mirbeau
מירבין	mervyn
מירג'לול	mirjalol
מירדאל	myrdal
מירוסלאב	miroslav
מירטון	merton
מירטסאקר	mertesacker
מירי	miri
מיריאם	myriam
מירידא	merida
מיריו	meyrieu
מיריי	mireille
מיריל	meryl
מירילס	meireles
מיריק	mirek
מירל	mirel
מירני	mirnyi
מירסאד	mirsad
מירסאדקי	mirsadeghi
מירסיא	mircea
מירסין	mersenne
מירפי	murphy
מירקאטור	mercator
מירקו	mirko
מירקוסור	mercosur
מירקורי	mercury
מירקיור	mercure
מירקל	merkel
מישא	mischa
מישיגאן	michigan
מישימא	mishima
מישל	michel
מישליט	michelet
מישר	miescher
מיתיין	methane
מכאללה	mkhalele
מכבי	maccabi
מל	mel
מלאדיאן	mlađan
מלאדיטש	mladic
מלאדיניטש	mladinic
מלאל	malal
מלאלאי	malalai
מלביל	melvil
מלבירג	mellberg
מלווין	melvin
מלולי	mellouli
מלחו	melho
מלחם	melhem
מלינדא	melinda
מליסיא	melissa
מלכיאל	malchiel
מלמד	melamed
מלקי	melki
מלקיאן	malakian
מלקיור	melchior
מלרוז	melrose
ממדוח	mamdouh
ממפיס	memphis
מן	mann
מנאג'ד	mnajed
מנאמה	manama
מנאף	manaf
מנארי	mnari
מנגומיני	mngomeni
מנדוזא	mendoza
מנדונקא	mendonca
מנדי	mendy
מנדיז	mndez
מנדיריס	menderes
מנדל	mendel
מנדלייב	mendeleev
מנדלסון	mendelsohn
מנחם	menachem
מניקילי	menichelli
מנסור	mansour
מנסורי	mansouri
מנעם	menem
מנצ'ו	menchu
מנק	munk
מנשביק	menshevik
מנשה	menashe
מסא	mesa
מסאלי	messali
מסארו	massaro
מסטיסלאב	mstislav
מסי	messi
מסייה	messier
מסינא	messina
מסכאדוב	maskhadov
מסעד	massad
מסרוב	mesrob
מעדנצ'י	madanchi
מעלום	malloum
מעלוף	maalouf
מעמרי	mammeri
מערוף	marouf
מעריב	maariv
מפאי	mapai
מפומאלאנגא	mpumalanga
מפילא	mphela
מצגר	metzger
מצה	matza
מצודת	metzudat
מצלדר	metzelder
מצפה	mitzpe
מקאבוי	mcavoy
מקאוי	mekawy
מקאי	makaay
מקאיל	mickael
מקאלאני	mccallany
מקאן	mccann
מקארטני	mccartney
מקאריוס	makarios
מקארתי	mccarthy
מקביל	mcbeal
מקבראיד	mcbride
מקגריגור	mcgregor
מקגריידי	mcgrady
מקדאניאל	mcdaniel
מקדוניל	mcdonnell
מקדורמאנד	mcdormand
מקדיסי	makdisi
מקדירמוט	mcdermott
מקויסט	mccoist
מקורות	mekorot
מקטירנאן	mctiernan
מקימסון	mckimson
מקלאקלאן	mclachlan
מקלובה	maqluba
מקלין	mclean
מקליר	mcclair
מקמאהון	mcmahon
מקניל	mcneil
מקנר	mechner
מקסטיי	mcstay
מקסים	maxim
מקסימוס	maximus
מקסיס	mexes
מקסיקו	mexico
מקפאדין	mcfadden
מקראקין	mccracken
מקרם	makram
מר	mer
מראקשי	marrakchi
מרבאח	merbah
מרדוק	murdock
מרה	mara
מרווחין	marwahin
מרום	merom
מרזוק	marzouk
מרי	mary
מריאח	meriah
מריאם	merieme
מרים	meriem
מרכז	merkaz
מרניסי	mernissi
מרסידס	mercedes
משה	moshe
משהד	mashhad
משהור	mashhur
משהראוי	masharawi
משולם	meshulam
משיר	meshir
משעל	mashal
משעלאני	machaalani
משרביה	mashrabiya
נאבאטאמי	nabatame
נאבאס	navas
נאבאר	navarre
נאבארו	navarro
נאבי	nabih
נאבין	naveen
נאג'י	naji
נאגאי	nagai
נאגאנו	nagano
נאגי	nagi
נאדא	nada
נאדאל	nadal
נאדיא	nadia
נאהואטל	nahuatl
נאהיאן	nahyan
נאואז	nawaz
נאוהירו	naohiro
נאוטאקי	naotake
נאומאן	naumann
נאוסב	nauseb
נאוקו	naoko
נאוקי	naoki
נאור	naor
נאזים	nazim
נאזיק	nazik
נאזלי	nazli
נאזם	nazem
נאט	nat
נאטאלי	natale
נאטאליא	natalia
נאטאנז	natanz
נאטאסא	natasa
נאטאפורן	nattaporn
נאטאשא	natacha
נאטו	nato
נאטסומה	natsume
נאי	nighy
נאיג'יריא	nigeria
נאיהום	naihoum
נאיט	knight
נאיטון	knighton
נאיטינגייל	nightingale
נאיטלי	knightley
נאין	nein
נאיף	nayef
נאיק	naik
נאיקסט	nyquist
נאירובי	nairobi
נאכבאר	nachbar
נאלבאנדיאן	nalbandian
נאמבארין	nambaryn
נאמבו	nambu
נאמדי	nnamdi
נאמי	namie
נאמיקאוא	namikawa
נאן	nan
נאנא	nana
נאנאמי	nanami
נאנבודו	nanbudo
נאנדור	nandor
נאנטס	nantes
נאני	nani
נאנינגא	nanninga
נאנסי	nancy
נאנסן	nansen
נאסא	nasa
נאסדאק	nasdaq
נאסים	naseem
נאסיף	nasief
נאסיר	nasir
נאסר	naser
נאסראדין	nasreddin
נאפי	nafi
נאפליון	napoleon
נאפלס	naples
נאציז	nazis
נאקא	naka
נאקאהארא	nakahara
נאקאו	nakao
נאקאזאוא	nakazawa
נאקאטא	nakata
נאקאי	nakai
נאקאיאמא	nakayama
נאקאמאצו	nakamatsu
נאקאמורא	nakamura
נאקאסונה	nakasone
נאקשוואני	nakshawani
נארא	nara
נאראזאקי	narazaki
נארי	narey
נאריטא	narita
נארימאן	narriman
נארימן	narimene
נארמר	narmer
נאשיד	nasheed
נאשיזאוא	nishizawa
נאשף	nashef
נאתאניאל	nathaniel
נבאהט	nebahat
נבון	navon
נביל	nabeel
נג'אח	najah
נג'יב	najib
נגאטג'זיקו	ngatjizeko
נגיב	naguib
נגרילא	negrila
נד	ned
נדא	neda
נדאדאי	ndadaye
נדאו	ndao
נדב	nadav
נדביד	nedved
נדים	nadim
נדיקומאנא	ndikumana
נדיר	nadir
נדלובו	ndlovu
נהאלפו	nhlapo
נהריה	nahariya
נו	nou
נואדיבו	nouadhibou
נואה	noah
נואל	nawel
נואנירי	nwaneri
נואקשוט	nouakchott
נובאק	novak
נובאר	nubar
נובארטיס	novartis
נובו	neveu
נובוטל	novotel
נובוטנא	novotna
נובויוקי	nobuyuki
נובונאגא	nobunaga
נובוסוקה	nobusuke
נובורו	noboru
נובטושי	nobutoshi
נוביטסקי	nowitzki
נוביל	neuville
נובין	novin
נובל	nouvel
נוברי	nobre
נוג'ימא	nojima
נוגלי	nogly
נוד	knud
נודיא	nodia
נודלמאן	nudelman
נוה	naveh
נוהייר	nohair
נוואס	nuwas
נוויל	neville
נוזאוא	nozawa
נוזארה	nouzaret
נוזומו	nozomu
נוזומי	nozomi
נוטו	noto
נוטינג	notting
נוטינגהאם	nottingham
נוי	noe
נוימאן	neumann
נולאן	nolan
נולאסקו	nolasco
נולבירטו	nolberto
נום	gnome
נומא	numa
נומאן	numan
נומביטי	nomvethe
נומידיא	numidia
נונאבוט	nunavut
נונדא	nonda
נוני	nonie
נוניז	nunez
נוסבאום	nussbaum
נוסטרא	nostra
נוסטראדאמוס	nostradamus
נוסימבאום	nussimbaum
נוסרטי	nosrati
נוצ'ירינו	nocerino
נוקיא	nokia
נוקס	knox
נור	noor
נורברט	norbert
נורגיי	norgay
נורדאל	nordahl
נורדין	nordin
נורדיסק	nordisk
נורדסטרום	nordstrom
נורהאליזה	nurhaliza
נורודום	norodom
נורוז	nowruz
נורט	norte
נורטן	norton
נורי	nori
נוריאקי	noriaki
נוריהירו	norihiro
נוריו	norio
נוריזאן	norizan
נורייגא	noriega
נורילסק	norilsk
נורינא	noreena
נורינבירג	nurenberg
נוריקו	noriko
נורמאן	norman
נורמאנדי	normandy
נורמי	nurmi
נורסולטאן	nursultan
נורפולק	norfolk
נורתאם	northam
נותר	noether
נזאמי	nezami
נזאר	nazar
נזיף	nazif
נחום	nahum
נחל	nahal
נחלה	nahla
נחמן	nahman
נחנאח	nahnah
נחשון	nachshon
נטפים	netafim
ניאמי	niamey
ניאנג	niang
ניאנדורו	nyandoro
ניארקו	nyarko
ניאתי	nyathi
ניבאדא	nevada
ניביס	neves
ניגאם	nigam
ניגאקי	niigaki
נידאל	nidal
נידום	nedum
ניהאט	nihat
ניהודא	nehoda
ניו	new
ניוטאון	newtown
ניוטן	newton
ניומאן	newman
ניוסטד	newsted
ניוקליטא	nicolita
ניות	neot
ניז	knez
ניזאם	nizam
ניזיביטש	knezevic
ניטא	nita
ניטו	netto
ניטרא	nitra
ניי	ney
ניידין	nadine
ניידר	nader
ניילסון	naelson
ניימינין	nieminen
נייסמית	naysmith
ניירא	neira
נייתן	nathan
נייתנסון	nathanson
ניל	neill
נילאסי	nyilasi
נילו	nelo
נילטון	nilton
נילי	nili
ניליס	nellis
נילס	nils
נילסן	nielsen
נימאן	neeman
נימאניא	nemanja
נימבא	nimba
נימולר	niemoller
נימיטש	nemec
נימיץ	nimitz
נימר	nimar
נינא	nina
נינאד	nenad
נינו	nino
נינומיא	ninomiya
ניני	nene
ניס	nice
ניסא	nisa
ניסאן	nisan
ניסון	neeson
ניסטלרוי	nistelrooy
ניסיפור	nicephore
ניסנית	nisanit
ניסקינז	neeskens
ניסר	nisr
ניעמאן	neaman
ניפון	nippon
ניפטון	neptune
ניפלהאים	niflheim
ניפס	niepce
ניק	nick
ניקאנור	nicanor
ניקו	niko
ניקול	nicole
ניקולא	nikola
ניקולאו	nikolaou
ניקולאוס	nikolaos
ניקולאייב	nikolaev
ניקולאס	nicholas
ניקולה	nicolet
ניקולו	nicolo
ניקולודיס	nikoloudis
ניקולוס	nicolaus
ניקוליטש	nikolic
ניקוליי	niculae
ניקוס	nikos
ניקופולידיס	nikopolidis
ניקי	nikki
ניקיטא	nikita
ניקילבק	nickelback
ניקלאס	niklas
ניקסון	nixon
ניר	nir
נירו	nero
נירודא	neruda
נירי	nery
ניריו	nereo
נירירי	nyerere
נישימורא	nishimura
נישיקאוא	nishikawa
נישיקורי	nishikori
נלי	nelly
נלסן	nelsen
נמו	nemo
נמיירי	nimeiry
נסאר	nassar
נסטא	nesta
נסטור	nestor
נסטוריוס	nestorius
נסטרוב	nesterov
נסיב	nasib
נסיבאמבי	nsibambi
נסים	nissim
נסיר	naseer
נסירוב	nasyrow
נסר	nasr
נסראללה	nasrallah
נסרה	nasra
נסרי	nasri
נעים	naeim
נעמי	naomi
נפאל	nepal
נפאע	nafa
נפטי	nafti
נפר	knepper
נפרטיטי	nefertiti
נפתלי	naphtali
נצר	netzer
נקאש	nakache
נקונאם	nekounam
נרמין	nermin
נרנסט	nernst
נתיב	nativ
נתיבות	netivot
נوניהו	netanyahu
סאבא	saba
סאבאו	sabau
סאבאט	sabat
