a	এ
ind	ইন্ড
indal	ইন্দাল
indefatigable	ইন্ডেফ্যাটিজেবল
indemnity	ইনডেমনিটি
independence	ইন্ডিপেনডেন্স
independencia	ইন্ডিপেনডেন্সিয়া
india	ইন্ডিয়া
indian	ইন্ডিয়ান
indiana	ভারতিয়
indianapolis	ইন্ডিয়ানাপোলিস
indika	ইন্ডিকা
indira	ইন্দিরা
indirapuram	ইন্দিরাপুলাম
indium	ইনডিয়াম
indomitable	ইনডোমিটেবল
indomptable	ইনডোম্পটেবল
indore	ইন্দোর
indra	ইন্দ্রা
indrabati	ইন্দ্রবতী
indradeb	ইন্দ্রদেব
indradeo	ইন্দ্রদেও
indrajit	ইন্দ্রজীত
indrani	ইন্দ্রাণী
indrapal	ইন্দ্রপাল
indraprastha	ইন্দ্রপ্রস্থ
indurani	ইন্দুরানী
indusind	ইন্দাসইন্দ
industrial	ইন্ড্রাস্ট্রিয়াল
industrie	ইন্ড্রাস্ট্রি
industries	ইন্ড্রাস্ট্রিজ
industry	ইন্ডাস্টি
infomedia	ইনফোমিডিয়া
infotech	ইনফোটেক
infoway	ইনফোওয়ে
ing	আইএনজি
ingeborg	ইঙ্গেবোর্গ
ingram	ইনগ্রাম
initiative	ইনিটিয়েটিভ
innovations	ইননোভেশানস
institute	ইনস্টিটিউট
instruction	ইন্সট্রাকশান
instrumental	ইন্সট্রুমেন্টাল
instruments	ইনস্ট্রুমেন্টস
insurance	ইনস্যুরেন্স
insurgente	ইন্সারজেন্ট
interactive	ইন্টারঅ্যাকটিভ
interceptor	ইন্টারসেপ্টর
intercontinental	ইন্টারকোন্টিনেন্টাল
internet	ইন্টারনেট
interpid	ইন্টারপিদ
intesa	ইনটেসা
inti	ইন্তি
investment	ইনভেসমেন্ট
iodine	আয়োডিন
iowa	লোওয়া
iqbal	ইকবাল
ira	ইরা
irani	ইরানি
iranian	ইরানিয়ান
iraq	ইরাক
irawati	ইরাবতী
iredell	ইরিডেল
ireland	ঈরেল্যান্ড
irfan	ইরফান
iridium	ইরিডিয়াম
irish	আইরিশ
irishmen	ইরিশম্যেন
iro	আয়র
iron	আয়রন
irrigation	ইরিগেশন
irsad	ইরশাদ
irvine	এরভিন
isabel	ইসাবেল
isaronbibi	ইসারনবিবি
isha	ঈশা
ishaar	ইসহার
ishani	ঈশানী
ishita	ঈশিতা
ishrat	ইশরত
islam	ইসলাম
islamic	ইসলামিক
islands	আইল্যান্ড
isle	ইসলে
islip	ইসলিপ
ismail	ইসমাইল
ismailali	ইসমাইলআলি
ismat	ইসমত
ismatara	ইসমাতারা
ismetara	ইসমেতারা
israel	ইসরায়েল
israt	ইসরাত
isratbanu	ইসরতবানু
italia	ইটালিয়া
italiano	ইটালিয়ানো
italy	ইটালী
itanagar	ইটানগর
itatiaia	ইতাতিয়াইয়া
iti	ইতি
itirani	ইতিরাণী
ito	ইটো
itreesh	ইট্রিশ
itu	ইতু
ituran	আইটুরান
iturani	ইতুরানী
ivan	ইভান
ivanhoe	ইভানহো
ivor	ইভোর
iwami	ইওয়ামি
iwo	আইও
iyailu	আইয়াআইলু
iyasinali	ইযাসিনআলি
izumisano	জুমিসানো
jaamdar	জামদার
jaanhvekar	জাহ্নেকার
jaba	জবা
jababibi	জবাবিবি
jabakusum	জবাকুসুম
jabalpur	জব্বলপুর
jabarani	জবারানি
jabbar	জব্বার
jabbarali	জব্বারআলি
jabed	জাবেদ
jabeda	জাবেদা
jabeidakhatun	জুবেইদাখাতুন
jacada	জাকাডা
jacinto	জেসিন্ট
jack	জ্যাক
jackman	জ্যাকম্যান
jackson	জ্যাকশন
jacksonville	জ্যাকসোনভিল
jackvillen	জ্যাকভিলেন
jaclyn	জ্যাকলিন
jacobite	জাকোবইতা
jacobs	জ্যাকোবস
jacques	জ্যাকস
jadhav	যাদব
jafarwal	জাফারওয়াল
jaffar	জাফফার
jagadish	জগদীশ
jagadishwar	জগদীশ্বর
jagai	জগাই
jagandar	জগীন্দর
jagannath	জগন্নাথ
jagdeb	জগদেব
jagdip	জগদীপ
jagdish	জগদিশ
jagga	জগ্গা
jagindar	জগীন্দ্রর
jagjit	জগজিত
jaglal	জগলাল
jagran	জাগরন
jagtap	জগতাপ
jagtar	জগতার
jagur	জাগুর
jahana	জাহানা
jahanabad	জোহানাবাদ
jahanara	জাহানারা
jahanarabibi	জাহানারাবিবি
jahankhela	জাহানখেলা
jahara	জহরা
jaharlal	জওহরলাল
jaheda	জাহেদা
jahedali	জাহেদআলি
jahedun	জাহেদুন
jahenara	জাহেনারা
jahera	জাহেরা
jaherali	জাহেরআলি
jaherun	জাহেরুন
jahid	জাহিদ
jahida	জাহিদা
jahir	জহির
jahres	জারেস
jahroda	জাহ্রোদা
jahura	জহুরা
jaidev	জয়দেব
jaigarh	জয়গড়
jaikwadi	জয়কওাদি
jainism	জৈনইজম
jaiprakash	জয়প্রকাশ
jaipur	জয়পুর
jaisalmer	জয়শালমীর
jaitu	যেইটু
jajj	জাজ্জ
jajpur	জয়পুর
jakadia	জাকাদিয়া
jakir	জাকির
jakirali	জাকিরআলি
jaladhar	জলধর
jalaluddin	জালালুদ্দিন
jalangi	জলঙ্গী
jalaput	জালালপুট
jalaun	জালাউন
jaleika	জালেইকা
jaleshwari	জলেশ্বরী
jalgaon	জলগাঁও
jali	জলি
jalil	জলিল
jam	জাম
jamadar	জামাদার
jamaica	জামাইকা
jamaluddin	জামালউদ্দিন
jamat	জামাত
jambhale	জাম্ভালে
jambhekar	জাম্ভেকার
jamda	জামদা
jamerali	জামেরআলী
jameson	জ্যেমসন
jamie	জ্যামাই
jamila	জমিলা
jamirali	জামিরআলী
jamiruddin	জমিরদ্দিন
jamirulhak	জামিরুলহক
jammu	জম্মু
jamnagar	জামনগর
jamshed	জামসেদ
jamshedpur	জামসেদপুর
jamui	জামুই
jan	জান
janaki	জানকী
janakibala	জানকীবালা
janakidabi	জানকিদেবী
janakidevi	জানকীদেবী
janakinath	জানকীনাথ
janambhumi	জন্মভূমি
janardan	জনার্দন
janarddan	জনার্দ্দন
janasadharan	জনসাধারন
janathavani	জনতাবানী
janda	জনদা
janealam	জানেআলম
janet	জেনেট
jangpuri	জাঙ্গপুরি
janis	জেনিস
janjgir	জাঞ্জগির
janjira	জাঞ্জিরা
jansatta	জনসত্তা
jaohar	জওহর
japahari	জপহরি
japhar	জাফর
jaques	জ্যাক্স
jarabe	জারাবে
jarana	জারানা
jarina	জরিনা
jarvis	জারভিস
jasbir	জসবির
jashpur	জশপুর
jasim	জসীম
jasper	জ্যাসপার
jasraj	যশরাজ
jassal	জাশাল
jassowal	জসোওয়াল
jatan	যতন
jathhar	জাথার
jatin	জতিন
jaunpur	জুনপুর
jaureguiberry	জাউরেগুইবেরি
javagal	জাভাগাল
javed	জাভেদ
jawaharke	জওহারকি
jawara	জাওয়ার
jay	জয়
jaya	জায়া
jayananda	জয়ানন্দ
jayantha	জয়ন্থ
jayasuriya	জয়সুরিয়া
jayawardene	জয়ওয়ার্ডেন
jean	জিন
jeba	জেবা
jefferson	জেফারসন
jeffery	জেফেরি
jeganathan	জগনাথান
jeherali	জেহেরআলি
jeli	জেলি
jenolen	জেনোলেন
jensen	জেনসেন
jerauld	জেরাউল্ড
jermaine	জারমেইন
jerry	জেরি
jersey	জার্সি
jerusalem	জেরুজালেম
jesmin	জেসমিন
jessop	জেসপ
jessup	জেসপ
jesty	জাস্টি
jesus	জেসাস
jet	জেট
jethani	জেথানি
jewett	জেওয়েট
jewish	জিওইস
jeyatsna	জ্য়োতস্না
jhabal	ঝাবাল
jhabbar	ঝাব্বার
jhabua	ঝাবুয়া
jhade	ঝাদে
jhajjar	ঝাজ্জর
jhansi	ঝাঁসি
jhansiwale	ঝাঁন্সীওয়ালে
jhantu	ঝণ্টু
jhantucharan	ঝন্টুচরন
jhantukumar	ঝণ্টুকুমার
jhanu	ঝানু
jhanubala	ঝানুবালা
jharna	র্ঝণা
jharnabibi	ঝর্ণাবিবি
jharnarani	ঝর্নারাণী
jharsuguda	ঝারসুগুড়া
jhelum	ঝিলাম
jhikka	ঝিক্কা
jhimli	ঝিমলী
jhira	ঝিরা
jhulan	ঝুলন
jhuma	ঝুমা
jhumarani	ঝুমারাণী
jhumjhum	ঝুমঝুম
jhumka	ঝুমকা
jhumki	ঝুমকি
jhumpa	ঝুম্পা
jhumri	ঝুমরী
jhumur	ঝুমুর
jhunarani	ঝুনারানী
jhunjhunu	ঝুনঝুনু
jhunki	ঝুনকী
jhunu	ঝুনু
jhunubala	ঝুনুবালা
jhuribala	ঝুরিবালা
jhutti	ঝুট্টি
ji	জী
jiali	জিয়ালি
jibananda	জীবানন্দ
jibanbala	জীবনবালা
jibankrishna	জীবনকৃষ্ণ
jibankumar	জীবনকুমার
jibesh	জীবেশ
jilani	জিলানি
jima	জিমা
jina	জিনা
jinat	জিনাত
jinda	জিনদা
jindal	জিন্দাল
jinta	জিনটা
jinu	জিনু
jiranimo	জিরানিমো
jishnu	জিষ্ণু
jiten	জীতেন
jitendra	জিতেন্দ্র
jitesh	জীতেশ
jitterbug	জিতারবাগ
jive	জিভে
jo	জো
joan	জন
joaquim	জোয়াকুইম
jobeda	জোবেদা
jobs	জবস
jock	জ্যাক
joda	জোদা
jodhpur	যোধপুর
joe	জো
joel	জোয়েল
joey	জোই
jogdand	যোগদন্দ
jogging	জগিং
johal	জোহাল
johan	জন
johar	জোহর
johara	জোহরা
johnny	জনি
johrabegam	জোহরাবেগম
johrabibi	জোহরাবিবি
jolly	জল্লী
jon	জোন
jonabali	জোনাবআলি
jonathan	জোনাথন
jone	জন
jones	জোন্স
joplin	জোপলিন
jordan	জর্ডন
jorge	জর্জ
jorhat	জোড়হাট
joroster	জোরোস্টার
jose	জোস
joseph	জোসেপ
josephat	জোসেফাত
josimuddin	জসিমদ্দিন
jota	জোতা
joti	জোতি
jotsna	জোত্স্না
joul	জউল
journal	জার্নাল
journey	জার্নি
joux	জোক্স
jowai	জোতাই
joyantakumar	জযন্তকুমার
joyantirani	জযন্তীরানী
joyce	জোকে
joygobindra	জযগোবিন্দ
jozsef	জোজসেফ
juarez	জুয়ারেজ
jubai	জুবাই
jubed	জুবেদ
jubeda	জুবেদা
jubilant	জুবিল্যান্ট
judd	জুড
judge	জজ
judo	জুডো
jugasankha	যুগসঙ্খ
jugu	জুগু
juhi	জুহি
juin	জুঁই
julakka	জুলাক্কা
julfikar	জুলফিকার
juli	জুলি
julia	জুলিয়া
julian	জুলিয়ান
julie	জুলিয়ে
julien	জুলিয়ান
juliette	জুলিয়েট
julius	জুলিয়াস
julmatun	জুলমাতুন
juma	জুমা
jumman	জুম্মন
jumna	জুমনা
jump	জ্যাম্প
junagarh	জুনাগড়
junaid	জুনাইদ
junayd	জুনেদ
junction	জংশন
jund	ঞ্জুন্দ
juneja	জুনেজা
jung	জাং
junior	জুনিয়ার
juno	জুনো
junyo	জুনয়ো
jupiter	জুপিটারবৃহস্পতি
jura	জুরা
jurangpathy	জুরঙ্গপথি
jurjaman	নূরজামান
justice	জাস্টিস
justin	জাস্টিন
juvekar	জুভেকার
jwaharlal	জহরলাল
jyothi	জোতি
jyoti	জ্যোতি
jyotirlinga	জ্যোতির্লিঙ্গ
ka	কা
kaal	কাআল
kaamalwala	কামালওয়ালা
kaane	কানে
kaashi	কাশি
kabari	কবরী
kabbani	কাব্বানী
kabir	কবির
kabirhosen	কবিরহোসেন
kabita	কবিতা
kabitabala	কবিতাবালা
kabitadebi	কবিতাদেবী
kabitarani	কবিতারাণী
kabul	কাবুল
kacheri	কাচেরি
kachibala	কচিবালা
kachiram	কচিরাম
kadafi	কাদাফি
kaduthuruthi	কাদুথুরুথি
kaelin	কায়েলিন
kaga	কাগা
kahaaboman	কাহাবোমান
kahf	কাফ
kahinur	কহিনুর
kahlo	কাহলো
kahnuwal	কাহনুওয়াল
kaif	কাইফ
kailas	কৈলাস
kailashnath	কৈলাশনাথ
kainji	কাঞ্জি
kaiser	কৈসের
kaiserin	কৈসেরিন
kaithal	কাইথাল
kajalbala	কাজলবালা
kajalbati	কাজলবতী
kajalkumar	কাজলকুমার
kajalmani	কাজলমনি
kajalrani	কাজলরানি
kajaria	কাজারিয়া
kajibul	কাজিবুল
kajirul	কাজিরুল
kajwadkar	কাজওয়াদকার
kaka	কাকা
kakadu	কাকাদু
kakali	কাকলি
kakalirani	কাকলীরানী
kaki	খাকি
kakirde	কাকিরদে
kakrala	কাকরালা
kal	কাল
kala	কালা
kalabatidevi	কলাবতীদেবী
kalachand	কালাচাঁদ
kalamuddin	কালামউদ্দিন
kalan	কালান
kalanki	কালাঙ্কি
kale	কলে
kaleshwar	কালেশ্বর
kalgidhar	কলজিধর
kalhan	কলহন
kali	কালি
kalibala	কালিবালা
kalibunga	কালিবাঙ্গা
kalicharan	কালীচরণ
kalidas	কালিদাস
kalidasi	কালিদাসী
kalika	কালিকা
kalikambal	কালিকম্বল
kalikingkar	কালীকিংকর
kalikrishna	কালিকৃষ্ণ
kalikumar	কালিকুমার
kalimantan	কালিমান্তান
kalimba	কালিম্বা
kalimuddin	কলিমদ্দিন
kalindi	কালিন্দী
kalinjar	কালিঞ্জর
kalirai	কালিরাই
kaliram	কালীরাম
kalishadhan	কালিসাধন
kalishankar	কালীশংকর
kallicharran	কালিচরন
kallu	কাল্লু
kalomanik	কালোমানিক
kalosona	কালোসনা
kalpage	কালপেজ
kalpana	কল্পনা
kalpanarani	কল্পনারাণী
kalpesh	কাল্পেশ
kalra	কালরা
kalu	কালু
kaluperuma	কলুপেরুমা
kaluram	কালুরাম
kaluwitharana	কলুথারানা
kalyari	কলিয়ারী
kamakhya	কামাক্ষা
kamakshi	কামাক্ষী
kamal	কামাল
kamala	কমলা
kamalabibi	কমলাবিবি
kamaladebhi	কমলাদেভী
kamaladevi	কমলাদেবী
kamalakanta	কমলাকান্ত
kamalarani	কমলারাণী
kamalbala	কমলবালা
kamaldeo	কমলদেও
kamalesh	কমলেশ
kamaleshwar	কমলেশ্বর
kamalika	কমলিকা
kamaljit	কমলজিত
kamalkanti	কমলকান্তি
kamalkishor	কমলকিশোর
kamalkumar	কমলকুমার
kamallata	কমললতা
kamande	কামান্ডে
kamble	কাম্বলি
kambli	কাম্বলি
kamboj	কামবোজ
kamela	কামেলা
kamera	কেমেরা
kamlarani	কমলারানী
kampala	কাম্পালা
kamrujjaman	কামরুজ্জামান
kamrun	কামরুন
kamrup	কামরুপ
kanad	কনাদ
kanai	কানাই
kanailal	কানাইলাল
kanak	কণক
kanakbala	কনকবালা
kanakchanpa	কনকচাঁপা
kanaklata	কনকলতা
kananbala	কাননবালা
kanankumar	কাননকুমার
kananrani	কাননরানী
kanchana	কাঞ্চনা
kanchanbala	কাঞ্চনবালা
kanchandevi	কাঞ্চনদেবী
kanchipuram	কাঞ্চিপুরম
kandamby	কান্ডাম্বি
kandari	কানডারী
kandaswamy	কান্ডাস্বামী
kandh	খান্দ
kaneria	কানেরিয়া
kanetkar	কানেতকার
kang	কঞ্জ
kanha	কানহা
kanhai	কানহাই
kanitkar	কানিতকার
kanka	কঙ্ক
kankan	কঙ্কন
kankana	কঙ্কনা
kankaram	কঙ্কারাম
kanker	কঙ্কার
kankukus	কানকুকাস
kannada	খন্ড
kannanur	কন্নড়
kannapuram	কন্নাপুরম
kannauj	কনৌজ
kanokkanti	কনককান্তি
kanpur	কানপুর
kansai	কাঁসাই
kansas	কানসাস
kanta	কান্ত
kantabala	কান্তবালা
kantadevi	কান্তাদেবী
kantele	কান্টেলে
kantilal	কান্তিলাল
kantiram	কান্তিরাম
kanu	কানু
kanugopal	কানুগোপাল
kanun	কানুন
kanwal	কানোয়াল
kanyakumari	কন্যাকুমারী
kaous	কাউস
kapaleeshwara	কপালেশ্বর
kapali	কাপালি
kapani	কাপানি
kapil	কপিল
kapila	কপিলা
kapildev	কপিলদেব
kapileswar	কপিলেশ্বর
kapisthalam	কপিস্থলম
kapshe	কাপশে
kapugedera	কাপগেডারা
kapurchand	কাপুরচাঁদ
kapurmoni	কাপুরমনি
kapurthala	কাপুরথালা
kara	কারা
karaikudi	কারাইকুদি
karale	কারালে
karali	করালী
karam	করম
karambelkar	কারাম্বেলকার
karambir	করমবীর
karamchand	করমচাঁদ
karamjit	করমজিত্
karanjwan	কারঞ্জওয়ান
karate	ক্যারাটে
kareem	করিম
kareer	কারীর
kargil	কার্গিল
karim	করিম
karimali	করিমআলি
karimganj	করিমগঞ্জ
karimnagar	করিমনগর
karimun	কারিমুন
karkhanis	কারখানিস
karl	কার্ল
karlsborg	কার্লসবোর্গ
karmalkar	কার্মালকার
karnaal	কর্ণেল
karnain	কারনাইন
karnataka	কর্নাটক
karnik	কার্নিক
karoo	কারু
karouli	করৌলি
karpe	কার্পে
karsan	কারসন
karstadtquelle	কারস্টাডকুয়েল
karthik	কার্তিক
karuna	করুণা
karunabala	করুনাবালা
karunakalage	করুনাকালেগ
karunarani	করুনারানী
karupppanadhi	দারুপপ্পানাধি
karvi	কার্ভি
kasargod	কসারগোদ
kasei	কাসেই
kasharidebi	কেশরীদেবী
kashelikar	কাশেলিকার
kasheswari	কাশেশ্বরী
kashibala	কাশিবালা
kashim	কাশিম
kashima	কাশিমা
kashiram	কাশীরাম
kashmiri	কাশ্মিরি
kasturi	কস্তুরী
kasungu	কাসুঙ্গু
katadare	কাতাদারে
kate	কাটে
kathajuri	কথাঝুরি
kathak	কথথক
kathakali	কথাকলি
katich	ক্টিচ
katihar	কাটিহার
katni	কাটনি
kato	কাটো
katong	কাটোং
katse	কাটসে
kattora	কাট্টোরা
katyal	কাটওয়াল
kaulan	কৌলান
kaumudhi	কৌমুদী
kaushambi	কৌশাম্বী
kaushik	কৌশিক
kavignar	কভিগনার
kavishwar	কবিশ্বর
kavli	কাভলি
kawabata	কাওয়াবাটা
kawachi	কওয়াচি
kawardha	কোয়ার্ধা
kawishar	কাওইশ্বর
kazantzakis	কাজান্তজাকিস
kaziranga	কাজিরাঙ্গা
kazmaier	কাজমিয়ার
kedar	কেদার
kedarmani	কেদারমনি
kedarnath	কেদারনাথ
keegan	কিগান
keep	কিপ
keer	কীর
keeratpur	কেরাতপুর
keerthi	কীর্তি
kef	কেফ
keith	কিথ
kejimkujik	কেজিমকুজিক
keka	কেকা
kekarani	কেকারানী
kekare	কেকারে
kelimutu	কেলিমুতু
kelkar	কেলকার
keller	কেলার
kelley	কিলি
kelvingrove	কেলভিনগ্রোভ
kemijarvi	কেমিজার্ভি
kemp	কেম্প
ken	কেন
kena	কেনা
kenamu	কেনামু
kendrapada	কেন্দ্রপাড়া
kenilworth	কেনিলওয়ার্থ
kennedy	কেন্নেডি
kenneth	কিনিথ
kennings	কেনিঙ্গস
kenny	কেনি
kenosha	কেনোশা
kent	কেন্ট
kentucky	কেনতাকি
kenya	কেনিয়া
kenyir	কেনইর
keoladeo	কেওলাদেও
kephart	কেফার্ট
kepulauan	কেপুলাউয়ান
kero	কেরো
kerr	কের
kerry	কেরি
kershaw	কার্স
kesari	কেশরী
kesava	কেশব
keshab	কেশব
keshar	কেশর
keshavdas	কেশভদাস
kesheban	কেশেবান
keshta	কেষ্ট
kessel	কেসেল
ketabali	কেতাবআলি
ketaban	কেতেবান
ketabun	কেতাবুন
ketchum	কেটচুম
ketkar	কেতকার
ketubala	কেটুবালা
kevin	কেভিন
kevorkian	কিভোরকিয়ান
key	কি
khabar	খবর
khabor	খপর
khadakwasla	খাদাকওয়াসলা
khadatkar	খাদাতকার
khadikar	খাদিকার
khadilkar	খাদিলকার
khagadia	খাগাদিয়া
khagen	খগেন
khagendra	খগেন্দ্র
khahera	খাহেরা
khahira	খাহিরা
khairul	খাইরুল
khairun	খাইরুন
khakh	খাখ
khalda	খালদা
khaled	খালেদ
khaleda	খালেদা
khalid	খালিদ
khalik	খালিক
khalil	খালিল
khalsa	খালসা
khambete	খাম্বেটে
khammam	খাম্মাম
khan	খান
khanda	খাঁদা
khandekar	খান্ডেকার
khandesh	খান্দেশ
khandkar	খান্দকার
khandu	খাঁদু
khandur	খান্দুর
khanduram	খাঁদুরাম
khanvilkar	খানভিলকর
khanwalkar	খানওয়ালকার
khare	খারে
kharga	খর্গ
khartoum	খার্তুম
khasgiwale	খাসগিওয়ালে
khatavkar	খাতভকার
khatri	খাতরি
khattda	খাত্তদা
khatu	খাটু
kheda	খেদা
khedi	খেদি
kheladasi	খেলাদাসী
khenda	খেঁদা
khendi	খেঁদি
khenti	খেন্তী
khepa	খেপা
kher	খের
khinda	খিনদা
khingan	খিঙ্গান
khirbala	ক্ষীরবালা
khiri	খিরি
khirod	ক্ষীরোদ
khirwadkar	ক্ষীরোদকার
khitish	ক্ষিতীশ
khokan	খোকন
khokankumar	খোকনকুমার
khokaram	খোকারাম
khosha	খোশা
khosmahammad	খোসমহম্মদ
khoums	খৌমস
khrushchev	খরুশ্চহেব
khubgaonkar	খুবগাঁওকার
khudi	ক্ষুদি
khudibala	খুদিবালা
khudiram	খুদিরাম
khudubala	ক্ষুদুবালা
khukhren	খুখ্রেন
khuki	খুঁকী
khukumani	খুকুমণি
khukun	খুকুন
khurana	খুরানা
khurasiya	খুরসিয়া
khurd	খুদ
khurshid	খুরশিদ
khurshida	খুরশিদা
khusbu	খুসবু
khush	খুশ
khusi	খুসি
khusro	খসরু
khwaja	খওয়াজ
ki	কা
kidepo	কিডেপো
kiev	কিভ
kigali	কিগালি
kiglapait	কিগলাপেট
kii	কী
kijkuit	কিজকুইট
kila	কিলা
kilimanjaro	কিলিমাঞ্জারো
killarney	কিল্লারনে
kim	কিম
kimber	কিম্বার
kimberly	কিম্বার্লি
kina	কিন
kinetic	কাইনেটিক
kingdom	কিংডম
kingfisher	কিংফিসার
kingston	কিঙ্কটন
kinkar	কিংকর
kinshasa	কিনশাসা
kiranbala	কিরণবালা
kirandebi	কিরণদেবী
kirandevi	কিরনদেবী
kirani	কিরণী
kiransankar	কিরনশঙ্কর
kiratpur	কিরাটপুর
kirby	কির্বি
kirin	কিরিন
kirloskar	কিরলোস্কর
kirmani	কিরমানি
kirsten	ক্রিস্টন
kirtinasha	কীর্তিনাশা
kirtley	কিরটলে
kishanganj	কিষাণগঞ্জ
kishanlal	কিষনলাল
kishor	কিশোর
kishtapada	কিষ্টপদ
kisite	কিসিতে
kiso	কিসো
kisoribala	কিশোরীবালা
kisorilal	কিশোরীলাল
kisorimohan	কিশোরীমোহন
kisorkumar	কিশোরকুমার
kitten	কিত্তেন
kittson	কিটশন
kitty	কিট্টি
klamath	ক্লামাথ
kleist	ক্লেইস্ট
klop	ক্লোপ
kluane	ক্লুয়ানে
klusener	ক্লুসেনার
klyuchevskaya	ক্লায়ুচেভস্কায়া
knight	নাইট
knorr	নর
knox	নক্স
knoxville	নক্সভিল
knuth	কুথ
kobe	কোবে
koch	কোচ
kochhad	কোছাদ
kochhar	কচ্ছের
kochi	কোচি
kock	কোক
kodaikanal	কোদাইকানাল
kodak	কোডাক
kodarama	কোদার্মা
kodasalli	কোদাসাল্লি
koen	কয়েন
kohima	কোহিমা
kohinoorbegam	কহিনুরবেগম
kohinur	কোহীনুর
kohn	কোন
koil	কোলি
kokanastha	কোকানাস্থা
kokila	কোকিলা
kokri	কোকরি
kol	কোল
kolkata	কোলকাতা
kolthekar	কোলথেকার
kolvada	কোলভাদা
komodo	কোমোডো
kon	কোন
konark	কোনারক
kondrp	কন্দর্প
kong	কং
konghou	কোঙ্গহোউ
kongo	কঙ্গো
kongzhong	কংঝোং
konig	কোনিগ
konikabala	কনিকাবালা
konikarani	কনিকারানী
koning	কোনিং
koningen	কোনিংজেন
konkan	কোঙ্কণ
konkani	কোঙ্কনী
konkar	কোঙ্কার
koparkar	কোপারকার
kopran	কোপরান
koranne	কোরানে
koraput	কোরাপুট
korba	কোর্বা
korbanali	কোরবানআলী
korde	খোড়ে
korea	কোরিয়া
koro	কোরো
koruna	কোরুন
kosan	কোসান
koshur	কোশুর
kosi	কোশী
kota	কোটা
kotak	কোটাক
kothe	কোঠী
kothulkar	কোথুলকার
kotla	কোটলা
kotnis	কোটনীশ
koto	কোটো
kottayam	কোট্টায়াম
kotwal	কোতোয়াল
kouchibouguac	কৌচিবৌগুয়াক
koushala	কৌশলা
koushila	কৌশিলা
koustabh	কৌস্তভ
kovilar	কোভিলার
kowloon	কউলুন
koyna	কোইনা
koyo	কোয়ো
kratz	ক্রাটজ
krebs	ক্রেবস
kripal	কৃপাল
kripasindhu	কৃপাসিন্ধু
krishanu	কৃশানু
krishna	কৃষ্ণ
krishnabala	কৃষ্ণবালা
krishnacharan	কৃষ্ণচরন
krishnadas	কৃষ্ণদাস
krishnadashi	কৃষ্ণদাসী
krishnadebi	কৃষ্ণদেবী
krishnadevi	কৃষ্ণাদেবী
krishnagiri	কৃষ্ণগিরি
krishnagopal	কৃষ্ণগোপাল
krishnahari	কৃষ্ণহরি
krishnakali	কৃষ্ণকলি
krishnakamal	কৃষ্ণকমল
krishnakanta	কৃষ্ণকান্ত
krishnamurthy	কৃষ্ণমূর্তি
krishnamurti	কৃষ্ণমূর্তি
krishnendu	কৃষ্ণেন্দু
kroger	ক্রোজের
krona	ক্রোন
krone	ক্রোনে
krovi	ক্রোভি
kruger	ক্রুগার
krupka	ক্রুপকা
krypton	ক্রিপ্টন
kshirsagar	ক্ষীরসাগর
kuchipudi	কুচিপুরি
kuddus	কুদ্দুস
kudremukh	কুদ্রেমুখ
kuhad	কুহাদ
kuhada	কুহাদা
kuheli	কুহেলী
kukkad	কুক্কাদ
kukreja	কুকরেজা
kular	কুলার
kulasekara	কুলাসেকারা
kuldeep	কুলদীপ
kuldip	কুলদীপ
kuleswar	কুলেশ্বর
kulkarni	কুলকার্ণি
kullu	কুল্লু
kulon	কুলোন
kulsam	কুলসম
kulsan	কুলসন
kulsum	কুলসুম
kum	কুম
kumano	কুমানো
kumar	কুমার
kumari	কুমারী
kumaridevi	কুমারীদেবী
kumbhalgarh	কুম্ভলগড়
kumbhu	কুম্ভু
kumble	কুমলে
kumhar	কুমহার
kumkum	কুমকুম
kumudam	কুমুদাম
kumudini	কুমুদিনী
kunja	কুঞ্জ
kunjubala	কুঞ্জবালা
kuntala	কুন্তলা
kuntalika	কুন্তলিকা
kuntibala	কুন্তীবালা
kuntidevi	কুন্তীদেবী
kup	কুপ
kupwada	কুপওয়ারা
kural	কুরাল
kurani	কুড়ানী
kurban	কুরবান
kure	কুরে
kuresha	কুরেশা
kurfurst	কুরফুর্স্ট
kuriram	কুড়িরাম
kursedali	খুরসেদআলি
kurshida	খুর্শিদা
kurt	কুর্ট
kurukshetra	কুরুক্ষেত্র
kuruppu	কুরুপপু
kurus	কুরুস
kuruvilla	কুরুবিল্ল
kush	কুশ
kushadhwaj	কুশধবজ
kushal	কুশল
kushchadra	কুশচন্দ্র
kushimohan	খুশিমোহন
kushinagar	কুশীনগর
kustari	কুস্তরী
kusum	কুসুম
kusumbala	কুসুমবালা
kusumbibi	কুসুমবিবি
kusumdevi	কুসুমদেবী
kusumrani	কুসুমরানী
kutai	কুটাই
kutch	কুচ
kutubali	কুতুবআলি
kutubuddin	কুতুবউদ্দিন
kutumbe	কুটুম্বে
kutuzov	কুটুজোভ
kuwait	কুয়াট
kville	ভিল
kwacha	কওয়াচ
kyle	কিল
kyonjhar	কেওনঝড়
kyoto	কিওটো
kyushu	কায়ুসু
la	লা
laari	লারি
lab	লব
labachandra	লবচন্দ্র
labakanta	লবকান্ত
labakumar	লবকুমার
labanga	লবঙ্গ
labangalata	লবঙ্গলতা
labli	লাবলী
lablu	লাবলু
laboni	লাবনী
labopharm	লাবোফার্ম
laboratories	ল্যাবরেটরিজ
labour	লেবার
labrooy	লেব্রোই
labs	ল্যাব
lachman	লছমন
lachmi	লছমী
